id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079801363395001,RP,Residential Property,749 MATHESON WAY,WALTON HOMESTEAD PH 2,10/13/2020 11:35:38 AM,206.510.T,"3,338",,2005,26 - Townhome - Row,5 - Forced Air,1714,3,2,1
06079801363415002,RP,Residential Property,753 MATHESON WAY,WALTON HOMESTEAD PH 2,10/13/2020 11:33:52 AM,206.510.T,"2,003",,2005,26 - Townhome - Row,5 - Forced Air,1552,3,2,1
06079801363435003,RP,Residential Property,761 MATHESON WAY,WALTON HOMESTEAD PH 2,10/13/2020 11:38:34 AM,206.510.T,"2,003",,2005,26 - Townhome - Row,5 - Forced Air,1552,3,2,0
06079801363455004,RP,Residential Property,785 MATHESON WAY,WALTON HOMESTEAD PH 2,10/13/2020 11:27:27 AM,206.510.T,"3,125",,2005,26 - Townhome - Row,5 - Forced Air,1484,3,2,1
06079801364015001,RP,Residential Property,MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:34:14 AM,206.510.T,"4,341",,2005,26 - Townhome - Row,5 - Forced Air,1546,3,2,1
06079801364035002,RP,Residential Property,1486 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:27:46 AM,206.510.T,"2,356",,2005,26 - Townhome - Row,5 - Forced Air,1524,3,2,1
06079801364055003,RP,Residential Property,1474 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:26:14 AM,206.510.T,"2,366",,2005,26 - Townhome - Row,5 - Forced Air,1524,3,2,1
06079801364075004,RP,Residential Property,1468 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:38:45 AM,206.510.T,"3,967",,2005,26 - Townhome - Row,5 - Forced Air,1546,3,2,1
06079801364095001,RP,Residential Property,1450 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:36:07 AM,206.510.T,"3,995",,2005,26 - Townhome - Row,5 - Forced Air,1472,3,3,0
06079801364115002,RP,Residential Property,1434 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:32:52 AM,206.510.T,"2,411",,2005,26 - Townhome - Row,5 - Forced Air,1524,3,2,1
06079801364135003,RP,Residential Property,1422 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:29:22 AM,206.510.T,"2,409",,2005,26 - Townhome - Row,5 - Forced Air,1524,3,2,1
06079801364155004,RP,Residential Property,1418 MAE ST,WALTON HOMESTEAD PH 2,10/13/2020 11:29:15 AM,206.510.T,"5,388",,2005,26 - Townhome - Row,5 - Forced Air,1472,3,3,0
06079801364175001,RP,Residential Property,655 MATHESON WAY,WALTON HOMESTEAD PH 2,10/13/2020 11:31:03 AM,206.510.T,"4,672",,2005,26 - Townhome - Row,5 - Forced Air,1472,3,3,0
