id,year,land,building,total,method
06079803405070000,2021,128998,268002,397000,MKT
06079803405070000,2020,80126,253774,333900,MKT
06079803405070000,2019,80126,253774,333900,MKT
06079803405090000,2021,128998,270902,399900,MKT
06079803405090000,2020,80126,253574,333700,MKT
06079803405090000,2019,80126,253574,333700,MKT
06079803405110000,2021,128998,269302,398300,MKT
06079803405110000,2020,80126,250674,330800,MKT
06079803405110000,2019,80126,250674,330800,MKT
06079803405130000,2021,128684,274016,402700,MKT
06079803405130000,2020,79746,257554,337300,MKT
06079803405130000,2019,79746,257554,337300,MKT
06079803405150000,2021,129314,274286,403600,MKT
06079803405150000,2020,80510,256590,337100,MKT
06079803405150000,2019,80510,256590,337100,MKT
06079803405170000,2021,140629,286871,427500,MKT
06079803405170000,2020,94831,274969,369800,MKT
06079803405170000,2019,94831,274969,369800,MKT
06079803405190000,2021,129813,257887,387700,MKT
06079803405190000,2020,94264,244136,338400,MKT
06079803405190000,2019,94264,244136,338400,MKT
06079803405210000,2021,121041,272959,394000,MKT
06079803405210000,2020,82232,257668,339900,MKT
06079803405210000,2019,82232,257668,339900,MKT
06079803405230000,2021,119152,268748,387900,MKT
06079803405230000,2020,79746,250454,330200,MKT
06079803405230000,2019,79746,250454,330200,MKT
06079803405250000,2021,119443,294457,413900,MKT
06079803405250000,2020,80126,282874,363000,MKT
06079803405250000,2019,80126,231874,312000,MKT
06079803405270000,2021,119443,276457,395900,MKT
06079803405270000,2020,80126,253674,333800,MKT
06079803405270000,2019,80126,253674,333800,MKT
06079803405290000,2021,119443,276557,396000,MKT
06079803405290000,2020,80126,253774,333900,MKT
06079803405290000,2019,80126,253774,333900,MKT
06079803406057000,2021,288094,0,288094,COST
06079803406057000,2020,398161,0,398161,COST
06079803406057000,2019,398161,0,398161,COST
06079803407010000,2021,135859,289841,425700,MKT
06079803407010000,2020,88654,267646,356300,MKT
06079803407010000,2019,88654,267646,356300,MKT
06079803407030000,2021,125822,272078,397900,MKT
06079803407030000,2020,88692,253908,342600,MKT
06079803407030000,2019,88692,253908,342600,MKT
06079803407050000,2021,125822,303578,429400,MKT
06079803407050000,2020,88692,279708,368400,MKT
06079803407050000,2019,88692,279708,368400,MKT
06079803407070000,2021,123178,258322,381500,MKT
06079803407070000,2020,85089,231611,316700,MKT
06079803407070000,2019,85089,231611,316700,MKT
06079803407090000,2021,123272,258428,381700,MKT
06079803407090000,2020,85217,229083,314300,MKT
06079803407090000,2019,85217,237583,322800,MKT
06079803407110000,2021,129458,337342,466800,MKT
06079803407110000,2020,93762,352138,445900,MKT
06079803407110000,2019,93762,352138,445900,MKT
06079803407130000,2021,140398,274802,415200,MKT
06079803407130000,2020,94528,268372,362900,MKT
06079803407130000,2019,94528,268372,362900,MKT
06079803407150000,2021,137704,297596,435300,MKT
06079803407150000,2020,91020,280780,371800,MKT
06079803407150000,2019,91020,280780,371800,MKT
06079803407170000,2021,132894,259606,392500,MKT
06079803407170000,2020,84917,236383,321300,MKT
06079803407170000,2019,84917,236383,321300,MKT
06079803408010000,2021,122513,277287,399800,MKT
06079803408010000,2020,84195,299005,383200,MKT
06079803408010000,2019,84195,299005,383200,MKT
06079803408030000,2021,122513,272087,394600,MKT
06079803408030000,2020,84195,254605,338800,MKT
06079803408030000,2019,84195,254605,338800,MKT
06079803408050000,2021,122513,261987,384500,MKT
06079803408050000,2020,84195,237805,322000,MKT
06079803408050000,2019,84195,237805,322000,MKT
06079803408070000,2021,112331,241369,353700,MKT
06079803408070000,2020,71078,235522,306600,MKT
06079803408070000,2019,71078,235522,306600,MKT
06079803408090000,2021,105414,252086,357500,MKT
06079803408090000,2020,62786,249514,312300,MKT
06079803408090000,2019,62786,249514,312300,MKT
06079803408110000,2021,105414,242186,347600,MKT
06079803408110000,2020,62786,258014,320800,MKT
06079803408110000,2019,62786,258014,320800,MKT
06079803408130000,2021,105414,264486,369900,MKT
06079803408130000,2020,62786,260714,323500,MKT
06079803408130000,2019,62786,258814,321600,MKT
06079803408150000,2021,111619,252881,364500,MKT
06079803408150000,2020,70202,256198,326400,MKT
06079803408150000,2019,70202,256198,326400,MKT
06079803408170000,2021,112067,271333,383400,MKT
06079803408170000,2020,70752,261748,332500,MKT
06079803408170000,2019,70752,261748,332500,MKT
06079803408190000,2021,105414,262686,368100,MKT
06079803408190000,2020,62786,257514,320300,MKT
06079803408190000,2019,62786,257514,320300,MKT
06079803408210000,2021,105414,261386,366800,MKT
06079803408210000,2020,62786,256714,319500,MKT
06079803408210000,2019,62786,256714,319500,MKT
06079803408230000,2021,105414,264686,370100,MKT
06079803408230000,2020,62786,257714,320500,MKT
06079803408230000,2019,62786,257714,320500,MKT
06079803408250000,2021,111958,228042,340000,MKT
06079803408250000,2020,70618,230082,300700,MKT
06079803408250000,2019,70618,230082,300700,MKT
06079803409010000,2021,131554,1016646,1148200,INCOME
06079803409010000,2020,98899,745701,844600,INCOME
06079803409010000,2019,98899,745701,844600,INCOME
06079803409037000,2021,121483,0,121483,COST
