id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06008625101010000,RP,Government Property,,,10/13/2020 11:28:55 AM,206.002,,59.515,,,,,,,
06008626101010000,RP,Government Property,,,10/13/2020 11:30:45 AM,206.002,,639.73,,,,,,,
06008627101010000,RP,Government Property,,,10/13/2020 11:32:11 AM,206.002.A,,25.859,,,,,,,
06008627401010000,RP,Government Property,,,10/13/2020 11:32:14 AM,206.002,,115.472,,,,,,,
06008628101010000,RP,Government Property,,,10/13/2020 11:25:06 AM,206.002,,7.783,,,,,,,
06008629101010000,RP,Government Property,,,10/13/2020 11:34:08 AM,206.002.A,,2.981,,,,,,,
06008630101010000,RP,Government Property,,,10/13/2020 11:36:36 AM,206.002.A,,165.876,,,,,,,
06008631101010000,RP,Government Property,,,10/13/2020 11:37:20 AM,206.002.W,,513.661,,,,,,,
06008632101010000,RP,Government Property,,,10/13/2020 11:24:57 AM,206.002.W,,34.241,,,,,,,
06008633101010000,RP,Government Property,,,10/13/2020 11:36:28 AM,206.002.A,,8.785,,,,,,,
06008634101010000,RP,Government Property,,,10/13/2020 11:35:44 AM,206.002.A,,20.358,,,,,,,
06008634401010000,RP,Government Property,,,10/13/2020 11:27:52 AM,206.002,,115.31,,,,,,,
06008635101010000,RP,Government Property,,,10/13/2020 11:28:59 AM,206.002,,639.84,,,,,,,
06008636101010000,RP,Government Property,,,10/13/2020 11:32:28 AM,206.002,,541.378,,,,,,,
06010701101010000,RP,Government Property,,,10/13/2020 11:28:42 AM,206.002,,85.744,,,,,,,
06010702101010000,RP,Government Property,,,10/13/2020 11:25:38 AM,206.002,,8.622,,,,,,,
06010703101010000,RP,Government Property,,,10/13/2020 11:23:38 AM,206.002,,509.265,,,,,,,
06010704101010000,RP,Government Property,,,10/13/2020 11:28:04 AM,206.002,,16.267,,,,,,,
06010709101010000,RP,Government Property,,,10/13/2020 11:22:40 AM,206.002,,81.962,,,,,,,
06010710101010000,RP,Government Property,,,10/13/2020 11:32:48 AM,206.002,,484.479,,,,,,,
06010711101010000,RP,Government Property,,,10/13/2020 11:26:24 AM,206.002,,587.767,,,,,,,
06010712101010000,RP,Government Property,,,10/13/2020 11:23:36 AM,206.002,,8.706,,,,,,,
06010713101010000,RP,Government Property,,,10/13/2020 11:28:38 AM,206.002,,503.16,,,,,,,
06010714101010000,RP,Government Property,,,10/13/2020 11:30:43 AM,206.002,,466.323,,,,,,,
06010715101010000,RP,Government Property,,,10/13/2020 11:28:14 AM,206.002,,100.565,,,,,,,
06010715301010000,RP,Government Property,,,10/13/2020 11:25:53 AM,206.002,,24.8,,,,,,,
06010715401010000,RP,Commercial Property,80 NORTHWESTERN LOOP,,10/13/2020 11:33:05 AM,206.002,00,2.2,1950,,,,,,
06010716101010000,RP,Government Property,,,10/13/2020 11:32:01 AM,206.002,,6.649,,,,,,,
06010721101010000,RP,Government Property,,,10/13/2020 11:26:10 AM,206.002,,182.362,,,,,,,
06010722101010000,RP,Government Property,,,10/13/2020 11:30:55 AM,206.002,,324.708,,,,,,,
06010722201010000,RP,Government Property,,,10/13/2020 11:26:39 AM,206.002,,181.686,,,,,,,
06010723101010000,RP,Government Property,,,10/13/2020 11:34:20 AM,206.002.W,,77,,,,,,,
06010723301010000,RP,Government Property,,,10/13/2020 11:37:43 AM,206.002.W,,102.368,,,,,,,
06010724101010000,RP,Government Property,,,10/13/2020 11:27:44 AM,206.002,,114.376,,,,,,,
06010725101010000,RP,Residential Property,33 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:25:44 AM,206.002.A,00,0.276,1981,01 - Bi-Level,7 - Electric Baseboard/Electric Radiant,1120,2,2,0
06010725101020000,RP,Residential Property,253 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:33:01 AM,206.002.A,00,0.306,1974,03 - Ranch,7 - Electric Baseboard/Electric Radiant,836,2,1,0
06010725101030000,RP,Residential Property,235 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:36:34 AM,206.002.A,00,0.261,1982,01 - Bi-Level,7 - Electric Baseboard/Electric Radiant,1152,2,2,0
06010725101040000,RP,Residential Property,205 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:30:39 AM,206.002.A,00,0.328,1907,14 - Other,7 - Electric Baseboard/Electric Radiant,1022,2,1,0
06010725101050000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:23:52 AM,206.002.A,00,0.207,,,,,,,
06010725101060000,RP,Residential Property,139 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:31:41 AM,206.002.A,00,0.274,1973,03 - Ranch,7 - Electric Baseboard/Electric Radiant,1025,0,1,1
06010725101070000,RP,Residential Property,117 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:26:30 AM,206.002.A,00,0.274,1972,03 - Ranch,7 - Electric Baseboard/Electric Radiant,1056,2,2,0
06010725101080000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:25:59 AM,206.002.A,00,0.23,,,,,,,
06010725101090000,RP,Residential Property,43 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:28:12 AM,206.002.A,00,0.219,1978,03 - Ranch,7 - Electric Baseboard/Electric Radiant,724,2,1,0
06010725101100000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:34:43 AM,206.002.A,00,0.216,,,,,,,
06010725101210000,RP,Residential Property,19 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:33:28 AM,206.002.A,00,0.261,1978,11 - Log,7 - Electric Baseboard/Electric Radiant,1320,2,1,1
06010725102010000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:27:22 AM,206.002.A,00,0.305,,,,,,,
06010725102020000,RP,Residential Property,242 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:25:12 AM,206.002.A,00,0.382,1977,14 - Other,7 - Electric Baseboard/Electric Radiant,739,3,1,0
06010725102040000,RP,Residential Property,226 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:25:08 AM,206.002.A,00,0.299,1976,08 - Conventional,1 - Floor/Wall/Space,1024,2,1,0
06010725102060000,RP,Residential Property,196 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:29:33 AM,206.002.A,00,0.456,1978,01 - Bi-Level,7 - Electric Baseboard/Electric Radiant,1812,3,2,0
06010725102070000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:28:27 AM,206.002.A,00,0.193,,,,,,,
06010725102080000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:23:44 AM,206.002.A,00,0.232,,,,,,,
06010725102090000,RP,Residential Property,174 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:37:39 AM,206.002.A,00,0.284,2008,03 - Ranch,5 - Forced Air,1688,3,2,0
06010725102100000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:40:32 AM,206.002.A,00,0.235,,,,,,,
06010725102110000,RP,Residential Property,120 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:25:35 AM,206.002.A,00,0.271,1973,01 - Bi-Level,7 - Electric Baseboard/Electric Radiant,1386,2,2,0
06010725102120000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:26:21 AM,206.002.A,00,0.216,,,,,,,
06010725102130000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:35:51 AM,206.002.A,00,0.248,,,,,,,
06010725102140000,RP,Residential Property,100 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:28:04 AM,206.002.A,00,0.398,1979,11 - Log,7 - Electric Baseboard/Electric Radiant,864,2,1,0
06010725102150000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:28:35 AM,206.002.A,00,0.323,,,,,,,
06010725102160000,RP,Residential Property,66 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:32:11 AM,206.002.A,00,0.32,1990,08 - Conventional,5 - Forced Air,1179,3,1,0
06010725102170000,RP,Residential Property,,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:30:30 AM,206.002.A,00,0.291,,,,,,,
06010725102180000,RP,Residential Property,22 KIRKWOOD TRAIL LOOP,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:39:44 AM,206.002.A,00,0.253,1997,01 - Bi-Level,7 - Electric Baseboard/Electric Radiant,1232,3,3,0
06010725102190000,RP,,337 KIRKWOOD CREEK RD,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:35:24 AM,206.002.A,00,0.473,1988,DW,5 - Forced Air,1336,4,3,0
06010725102200000,RP,Residential Property,469 KIRKWOOD CREEK RD,KIRKWOOD RIDGE MEADOWS,10/13/2020 11:30:50 AM,206.002.A,00,0.46,1977,11 - Log,7 - Electric Baseboard/Electric Radiant,1076,3,1,0
06010725120100000,RP,Residential Property,479 KIRKWOOD CREEK RD,,10/13/2020 11:31:46 AM,206.002.A,00,0.771,2005,11 - Log,7 - Electric Baseboard/Electric Radiant,1224,3,2,1
06010725120120000,RP,Residential Property,KIRKWOOD CREEK RD,,10/13/2020 11:27:10 AM,206.002.A,00,1.06,,,,,,,
06010725120200000,RP,Non-Qualified Ag,245 HI MOUNTAIN LOOP,,10/13/2020 11:31:03 AM,206.002.W,00,49.45,1975,08 - Conventional,5 - Forced Air,1486,2,1,1
06010725120220000,RP,Residential Property,323 HI MOUNTAIN LOOP,,10/13/2020 11:31:39 AM,206.002.A,00,0.353,1965,01 - Bi-Level,0,1250,2,0,0
06010725120280000,RP,,240 MARINA LOOP,,10/13/2020 11:32:12 AM,206.002.W,00,0.559,1993,DW,5 - Forced Air,1344,3,2,0
06010725120360000,RP,Residential Property,336 MARINA LOOP,,10/13/2020 11:27:04 AM,206.002.W,00,0.5,1998,08 - Conventional,7 - Electric Baseboard/Electric Radiant,2888,3,3,0
06010725120380000,RP,Residential Property,MARINA LOOP,,10/13/2020 11:23:07 AM,206.002.W,00,0.273,,,,,,,
06010725120430000,RP,Residential Property,274 MARINA LOOP,,10/13/2020 11:40:08 AM,206.002.W,00,0.882,2006,08 - Conventional,5 - Forced Air,3210,3,3,0
06010725120440000,RP,Residential Property,298 MARINA LOOP,,10/13/2020 11:30:53 AM,206.002.W,00,0.513,2006,08 - Conventional,5 - Forced Air,3300,1,3,0
06010725120460000,RP,Residential Property,310 MARINA LOOP,,10/13/2020 11:29:21 AM,206.002.W,00,0.543,2005,03 - Ranch,7 - Electric Baseboard/Electric Radiant,2066,2,2,0
06010725120470000,RP,Residential Property,250 MARINA LOOP,,10/13/2020 11:29:50 AM,206.002.W,00,0.67,1901,,,,,,
06010725120480000,RP,Residential Property,222 MARINA LOOP,,10/13/2020 11:23:48 AM,206.002.W,00,0.557,1966,14 - Other,5 - Forced Air,1296,3,2,0
06010725120510000,RP,Residential Property,208 MARINA LOOP,,10/13/2020 11:33:44 AM,206.002.W,00,1.38,1992,03 - Ranch,5 - Forced Air,1664,2,1,1
06010725120570000,RP,Residential Property,174 MARINA LOOP,,10/13/2020 1:01:49 PM,206.002.W,00,1.843,1976,03 - Ranch,7 - Electric Baseboard/Electric Radiant,1260,3,1,1
06010725120850000,RP,Residential Property,142 MARINA LOOP,,10/13/2020 11:32:33 AM,206.002.W,00,0.8,2018,08 - Conventional,7 - Electric Baseboard/Electric Radiant,1515,2,2,0
06010725120860000,RP,Residential Property,118 MARINA LOOP,,10/13/2020 11:32:50 AM,206.002.W,00,0.585,1994,08 - Conventional,5 - Forced Air,2992,5,2,1
06010725120910000,RP,,11313 HEBGEN LAKE RD,,10/13/2020 1:01:49 PM,206.002.A,00,0.48,1967,SW,7 - Electric Baseboard/Electric Radiant,711,2,2,0
06010725120920000,RP,Residential Property,11333 HEBGEN LAKE RD,,10/13/2020 11:26:33 AM,206.002.A,00,0.313,1930,02 - Split Level,7 - Electric Baseboard/Electric Radiant,936,1,1,0
06010725120930000,RP,Residential Property,11355 HEBGEN LAKE RD,,10/13/2020 11:35:59 AM,206.002.A,00,0.317,1940,08 - Conventional,1 - Floor/Wall/Space,755,1,1,0
06010725120940000,RP,Residential Property,11373 HEBGEN LAKE RD,,10/13/2020 11:36:12 AM,206.002.A,00,0.474,2006,03 - Ranch,7 - Electric Baseboard/Electric Radiant,1416,2,1,1
06010725120950000,RP,,11411 HEBGEN LAKE RD,,10/13/2020 11:32:26 AM,206.002.A,00,0.836,1976,DW,5 - Forced Air,1542,2,1,0
06010725201010000,RP,Government Property,,,10/13/2020 11:38:56 AM,206.002.W,,127.76,,,,,,,
06010725301010000,RP,Government Property,,,10/13/2020 11:32:45 AM,206.002.W,,1,,,,,,,
06010725401010000,RP,Residential Property,,MINOR SUB 330,10/13/2020 11:31:57 AM,206.002.A,00,7.721,,,,,,,
06010725401100000,RP,Residential Property,,MINOR SUB 330,10/13/2020 11:36:48 AM,206.002.A,00,5.809,,,,,,,
06010725401200000,RP,Residential Property,,MINOR SUB 330,10/13/2020 11:31:58 AM,206.002.A,00,6.677,,,,,,,
06010725401300000,RP,Residential Property,,MINOR SUB 330,10/13/2020 11:32:10 AM,206.002.A,00,9.195,,,,,,,
06010725401400000,RP,Commercial Property,11505 HEBGEN LAKE RD,MINOR SUB 330,10/13/2020 11:31:04 AM,206.002.A,00,6.289,2019,,,,,,
06010725402010000,RP,,317 MARINA LOOP,KIRKWOOD SHORES,10/13/2020 1:01:49 PM,206.002.A,00,0.247,1974,SW,5 - Forced Air,840,2,1,0
