id,year,land,building,total,method
06079809427010000,2021,213713,0,213713,COST
06079809428010000,2021,229229,0,229229,COST
06079809428040000,2021,228707,0,228707,COST
06079809428070000,2021,229308,0,229308,COST
06079809428100000,2021,228693,0,228693,COST
06079809429016500,2021,59977,0,59977,COST
06079809430020000,2021,1115625,1800575,2916200,INCOME
06079809430020000,2020,970690,1338210,2308900,INCOME
06079809430020000,2019,970690,1338210,2308900,INCOME
06079809440020000,2021,761687,788413,1550100,INCOME
06079809440020000,2020,725375,595325,1320700,INCOME
06079809440020000,2019,725375,595325,1320700,INCOME
06079809440040000,2021,785976,114324,900300,INCOME
06079809440040000,2020,735195,100970,836165,COST
06079809440040000,2019,735195,100970,836165,COST
06079809466010000,2021,776,0,776,COST
06079809466010000,2020,722,0,722,COST
06079809466010000,2019,817556,0,817556,COST
06079809466050000,2021,67131,0,67131,COST
06079809466050000,2020,233709,0,233709,COST
06079809466050000,2019,233709,0,233709,COST
06079810109015001,2021,100023,194677,294700,MKT
06079810109015001,2020,54660,203640,258300,MKT
06079810109015001,2019,54660,203640,258300,MKT
06079810109035002,2021,99954,198646,298600,MKT
06079810109035002,2020,48474,205526,254000,MKT
06079810109035002,2019,48474,205526,254000,MKT
06079810109055003,2021,99904,198596,298500,MKT
06079810109055003,2020,48427,205473,253900,MKT
06079810109055003,2019,48427,205473,253900,MKT
06079810109075004,2021,105005,194595,299600,MKT
06079810109075004,2020,53371,203729,257100,MKT
06079810109075004,2019,53371,203729,257100,MKT
06079810109095001,2021,112797,194403,307200,MKT
06079810109095001,2020,61373,200927,262300,MKT
06079810109095001,2019,61373,200927,262300,MKT
06079810109115002,2021,100681,191419,292100,MKT
06079810109115002,2020,49165,200235,249400,OVR
06079810109115002,2019,49165,200235,249400,MKT
06079810109135003,2021,105831,194369,300200,MKT
06079810109135003,2020,54193,202907,257100,MKT
06079810109135003,2019,54193,203607,257800,MKT
06079810109155001,2021,118171,194229,312400,MKT
06079810109155001,2020,67210,200990,268200,MKT
06079810109155001,2019,67210,200990,268200,MKT
06079810109175002,2021,99529,198571,298100,MKT
06079810109175002,2020,48073,205527,253600,MKT
06079810109175002,2019,48073,205527,253600,MKT
06079810109195003,2021,109479,194421,303900,MKT
06079810109195003,2020,57898,201402,259300,MKT
06079810109195003,2019,57898,201402,259300,MKT
06079810109215001,2021,117255,190245,307500,MKT
06079810109215001,2020,66197,196403,262600,MKT
06079810109215001,2019,66197,196403,262600,MKT
06079810109235002,2021,95444,195756,291200,MKT
06079810109235002,2020,44297,202203,246500,MKT
06079810109235002,2019,44297,202203,246500,MKT
06079810109255003,2021,112136,190364,302500,MKT
06079810109255003,2020,60673,196427,257100,MKT
06079810109255003,2019,60673,196427,257100,MKT
06079810109276500,2021,35323,0,35323,COST
06079810109276500,2020,20021,0,20021,COST
06079810109276500,2019,20021,0,20021,COST
06079810109295001,2021,111172,194328,305500,MKT
06079810109295001,2020,59659,200841,260500,MKT
06079810109295001,2019,59659,200841,260500,MKT
06079810109315002,2021,97052,195148,292200,MKT
06079810109315002,2020,45765,202035,247800,MKT
06079810109315002,2019,45765,202035,247800,MKT
06079810109335003,2021,119996,194204,314200,MKT
06079810109335003,2020,69250,200950,270200,MKT
06079810109335003,2019,69250,200950,270200,MKT
06079810109355001,2021,109339,194661,304000,MKT
06079810109355001,2020,65037,200863,265900,MKT
06079810109355001,2019,65037,200863,265900,MKT
06079810109375002,2021,97814,194886,292700,MKT
06079810109375002,2020,52329,203571,255900,MKT
06079810109375002,2019,52329,203571,255900,MKT
06079810109395001,2021,97843,194957,292800,MKT
06079810109395001,2020,52359,203641,256000,MKT
06079810109395001,2019,52359,203641,256000,MKT
06079810109415002,2021,97866,194934,292800,MKT
06079810109415002,2020,52384,203616,256000,MKT
06079810109415002,2019,52384,203616,256000,MKT
06079810109435001,2021,97040,194760,291800,MKT
06079810109435001,2020,51524,203576,255100,MKT
06079810109435001,2019,51524,203576,255100,MKT
06079810109455002,2021,96745,198655,295400,MKT
06079810109455002,2020,45483,205517,251000,MKT
06079810109455002,2019,45483,205517,251000,MKT
06079810109475003,2021,106199,194501,300700,MKT
06079810109475003,2020,54561,203639,258200,MKT
06079810109475003,2019,54561,203639,258200,MKT
06079810109495001,2021,120304,197796,318100,MKT
06079810109495001,2020,69598,197402,267000,OVR
06079810109495001,2019,69598,197402,267000,MKT
06079810109515002,2021,98767,198633,297400,MKT
06079810109515002,2020,47357,205443,252800,MKT
06079810109515002,2019,47357,205443,252800,MKT
06079810109535003,2021,103564,191136,294700,MKT
06079810109535003,2020,51950,200250,252200,MKT
06079810109535003,2019,51950,200250,252200,MKT
06079810109555001,2021,123587,191713,315300,MKT
06079810109555001,2020,73354,197746,271100,MKT
06079810109555001,2019,73354,197746,271100,MKT
06079810109575002,2021,97508,196292,293800,MKT
06079810109575002,2020,46186,200614,246800,MKT
06079810109575002,2019,46186,200614,246800,MKT
06079810109595003,2021,96767,196233,293000,MKT
06079810109595003,2020,45504,200596,246100,MKT
06079810109595003,2019,45504,200596,246100,MKT
06079810109615004,2021,113681,195419,309100,MKT
06079810109615004,2020,62316,201884,264200,MKT
06079810109615004,2019,62316,201884,264200,MKT
06079810109635001,2021,112180,184420,296600,MKT
06079810109635001,2020,60719,193481,254200,OVR
06079810109635001,2019,60719,193481,254200,MKT
06079810109655002,2021,95444,184856,280300,MKT
06079810109655002,2020,44297,199303,243600,OVR
06079810109655002,2019,44297,199303,243600,MKT
06079810109675003,2021,112136,192364,304500,MKT
06079810109675003,2020,60673,193627,254300,MKT
06079810109675003,2019,60673,193427,254100,MKT
06079810109696500,2021,31509,0,31509,COST
06079810109696500,2020,16019,0,16019,COST
06079810109696500,2019,16019,0,16019,COST
06079810109715001,2021,111172,188928,300100,MKT
06079810109715001,2020,59659,192941,252600,OVR
06079810109715001,2019,59659,192941,252600,MKT
06079810109735002,2021,97052,194248,291300,MKT
06079810109735002,2020,45765,204335,250100,MKT
06079810109735002,2019,45765,204335,250100,MKT
06079810109755003,2021,120353,188647,309000,MKT
06079810109755003,2020,69653,195147,264800,MKT
06079810109755003,2019,69653,197447,267100,MKT
06079810110107000,2021,340744,0,340744,COST
06079810110107000,2020,531042,0,531042,COST
06079810110107000,2019,531042,0,531042,COST
06079810111017000,2021,255276,0,255276,COST
06079810111017000,2020,302223,0,302223,COST
06079810111017000,2019,302223,0,302223,COST
06079810111035013,2021,90051,182049,272100,MKT
06079810111035013,2020,44530,197370,241900,MKT
06079810111035013,2019,44530,197370,241900,MKT
06079810111055014,2021,80805,175595,256400,MKT
06079810111055014,2020,36042,203758,239800,MKT
06079810111055014,2019,36042,203758,239800,MKT
06079810111075015,2021,80805,175595,256400,MKT
06079810111075015,2020,36042,203758,239800,MKT
06079810111075015,2019,36042,203758,239800,MKT
06079810111095016,2021,91027,181973,273000,MKT
06079810111095016,2020,45476,197324,242800,MKT
06079810111095016,2019,45476,197324,242800,MKT
06079810111115012,2021,102697,182003,284700,MKT
06079810111115012,2020,51104,186196,237300,MKT
06079810111115012,2019,51104,186196,237300,MKT
06079810111135011,2021,92272,174928,267200,MKT
06079810111135011,2020,41469,203731,245200,MKT
06079810111135011,2019,41469,203731,245200,MKT
06079810111155010,2021,92272,174928,267200,MKT
06079810111155010,2020,41469,203731,245200,MKT
06079810111155010,2019,41469,203731,245200,MKT
06079810111175008,2021,108246,188654,296900,MKT
06079810111175008,2020,56633,189067,245700,MKT
06079810111175008,2019,56633,189067,245700,MKT
06079810111195009,2021,103946,181954,285900,MKT
06079810111195009,2020,52324,186176,238500,MKT
06079810111195009,2019,52324,186176,238500,MKT
06079810111215007,2021,108246,181854,290100,MKT
06079810111215007,2020,56633,185667,242300,MKT
06079810111215007,2019,56633,185667,242300,MKT
06079810111235004,2021,102743,188657,291400,MKT
06079810111235004,2020,51150,189550,240700,MKT
06079810111235004,2019,51150,189550,240700,MKT
06079810111255003,2021,92184,175416,267600,MKT
06079810111255003,2020,41392,203808,245200,MKT
06079810111255003,2019,41392,203808,245200,MKT
06079810111275006,2021,108246,183754,292000,MKT
06079810111275006,2020,56633,211167,267800,OVR
06079810111275006,2019,56633,211167,267800,MKT
06079810111295002,2021,92045,175455,267500,MKT
06079810111295002,2020,41270,203930,245200,MKT
06079810111295002,2019,41270,203930,245200,MKT
06079810111315005,2021,108246,186054,294300,MKT
06079810111315005,2020,56633,212167,268800,MKT
06079810111315005,2019,56633,212167,268800,MKT
06079810111335001,2021,102771,182429,285200,MKT
06079810111335001,2020,51177,186223,237400,MKT
06079810111335001,2019,51177,186223,237400,MKT
06079810111416500,2021,36973,0,36973,COST
06079810111416500,2020,21887,0,21887,COST
06079810111416500,2019,21887,0,21887,COST
06079810111436500,2021,54356,0,54356,COST
06079810111436500,2020,46436,0,46436,COST
06079810111436500,2019,46436,0,46436,COST
06079810112010000,2021,110436,349364,459800,MKT
06079810112010000,2020,66317,332583,398900,MKT
06079810112010000,2019,66317,332583,398900,MKT
06079810112030000,2021,102279,376021,478300,MKT
06079810112030000,2020,57093,357407,414500,MKT
06079810112030000,2019,57093,345307,402400,MKT
06079810112050000,2021,102315,386385,488700,MKT
06079810112050000,2020,57132,357068,414200,MKT
06079810112050000,2019,57132,357068,414200,MKT
06079810112080000,2021,109851,380549,490400,MKT
06079810112080000,2020,65634,366166,431800,MKT
06079810112080000,2019,65634,366166,431800,MKT
06079810112106500,2021,36328,0,36328,COST
06079810112106500,2020,21148,0,21148,COST
06079810112106500,2019,21148,0,21148,COST
06079810112120000,2021,130536,385864,516400,MKT
06079810112120000,2020,81619,360581,442200,MKT
06079810112120000,2019,81619,360581,442200,MKT
06079810112140000,2021,122066,343034,465100,MKT
06079810112140000,2020,71602,334698,406300,MKT
06079810112140000,2019,71602,334698,406300,MKT
06079810112160000,2021,122066,347534,469600,MKT
06079810112160000,2020,71602,338698,410300,MKT
06079810112160000,2019,71602,338698,410300,MKT
06079810112180000,2021,125656,420244,545900,MKT
06079810112180000,2020,75770,357230,433000,MKT
06079810112180000,2019,75770,357230,433000,MKT
06079810112200000,2021,130430,385870,516300,MKT
06079810112200000,2020,81489,360611,442100,MKT
06079810112200000,2019,81489,360611,442100,MKT
06079810112220000,2021,130541,389259,519800,MKT
06079810112220000,2020,81625,356975,438600,MKT
06079810112220000,2019,81625,356975,438600,MKT
06079810113010000,2021,117708,285792,403500,MKT
06079810113010000,2020,75107,283793,358900,MKT
06079810113010000,2019,75107,283793,358900,MKT
06079810113030000,2021,138480,312620,451100,MKT
06079810113030000,2020,91594,294006,385600,MKT
06079810113030000,2019,91594,294006,385600,MKT
06079810113050000,2021,138480,283620,422100,MKT
06079810113050000,2020,91594,286606,378200,MKT
06079810113050000,2019,91594,286606,378200,MKT
06079810113070000,2021,138480,245420,383900,MKT
06079810113070000,2020,91594,250706,342300,MKT
06079810113070000,2019,91594,250706,342300,MKT
06079810114010000,2021,118054,232546,350600,MKT
06079810114010000,2020,75539,236461,312000,MKT
06079810114010000,2019,75539,236461,312000,MKT
06079810114030000,2021,138480,216220,354700,MKT
06079810114030000,2020,91594,225406,317000,MKT
06079810114030000,2019,91594,225406,317000,MKT
06079810114050000,2021,138480,308320,446800,MKT
06079810114050000,2020,91594,275806,367400,OVR
06079810114050000,2019,91594,275806,367400,MKT
06079810114070000,2021,138480,227120,365600,MKT
06079810114070000,2020,91594,237506,329100,MKT
06079810114070000,2019,91594,237506,329100,MKT
06079810115010000,2021,129087,275113,404200,MKT
06079810115010000,2020,89930,274970,364900,MKT
06079810115010000,2019,89930,274970,364900,MKT
06079810115030000,2021,139452,236048,375500,MKT
06079810115030000,2020,92854,244546,337400,MKT
06079810115030000,2019,92854,244546,337400,MKT
06079810115050000,2021,142716,295784,438500,MKT
06079810115050000,2020,97143,299057,396200,MKT
06079810115050000,2019,97143,299057,396200,MKT
06079810115070000,2021,142034,272366,414400,MKT
06079810115070000,2020,96239,271561,367800,MKT
06079810115070000,2019,96239,271561,367800,MKT
06079810115090000,2021,128816,267684,396500,MKT
06079810115090000,2020,89563,252437,342000,MKT
