id,year,land,building,total,method
06069803303050000,2021,425074,544910,969984,COST
06069803303050000,2020,309850,469780,779630,COST
06069803303050000,2019,309850,406030,715880,COST
06069803303100000,2021,376201,236760,612961,COST
06069803303100000,2020,269152,229220,498372,COST
06069803303100000,2019,269152,229220,498372,COST
06069803303150000,2021,372759,358280,731039,COST
06069803303150000,2020,266314,343386,609700,MKT
06069803303150000,2019,266314,343386,609700,MKT
06069803303200000,2021,367350,289780,657130,COST
06069803303200000,2020,261865,299835,561700,MKT
06069803303200000,2019,261865,299835,561700,MKT
06069803303420000,2021,605236,413590,1018826,COST
06069803303420000,2020,465661,395630,861291,COST
06069803303420000,2019,465661,395630,861291,COST
06069803303450000,2021,605257,237840,843097,COST
06069803303450000,2020,465680,230660,696340,COST
06069803303450000,2019,465680,161140,626820,COST
06069803304010000,2021,608386,5970,614356,COST
06069803304010000,2020,468456,6110,474566,COST
06069803304010000,2019,468456,6110,474566,COST
06069803304050000,2021,443120,30120,473240,COST
06069803304050000,2020,325063,23770,348833,COST
06069803304050000,2019,325063,23770,348833,COST
06069803304150000,2021,634216,440760,1074976,COST
06069803304150000,2020,491459,422700,914159,COST
06069803304150000,2019,491459,422700,914159,COST
06069803304200000,2021,507481,235170,742651,COST
06069803304200000,2020,380075,258334,638409,MRA
06069803304200000,2019,380075,258334,638409,MRA
06069803304220000,2021,361002,304698,665700,MKT
06069803304220000,2020,288199,248701,536900,MKT
06069803304220000,2019,288199,248701,536900,MKT
06069803304250000,2021,577949,478320,1056269,COST
06069803304250000,2020,441542,474760,916302,COST
06069803304250000,2019,441542,474760,916302,COST
06069803304300000,2021,602703,689460,1292163,COST
06069803304300000,2020,463414,657090,1120504,COST
06069803304300000,2019,463414,657090,1120504,COST
06069803305010000,2021,380992,521300,902292,COST
06069803305010000,2020,306674,502810,809484,COST
06069803305010000,2019,306674,502810,809484,COST
06069803305100000,2021,365278,247322,612600,MKT
06069803305100000,2020,292138,278162,570300,MKT
06069803305100000,2019,292138,278162,570300,MKT
06069803305160000,2021,280523,0,280523,COST
06069803305160000,2020,215480,0,215480,COST
06069803305160000,2019,215480,0,215480,COST
06069803305200000,2021,391025,334980,726005,COST
06069803305200000,2020,316003,301197,617200,MKT
06069803305200000,2019,316003,301197,617200,MKT
06069803401010000,2021,458607,296340,754947,COST
06069803401010000,2020,379762,288420,668182,COST
06069803401010000,2019,379762,288420,668182,COST
06069803401050000,2021,387972,233780,621752,COST
06069803401050000,2020,313160,222640,535800,MKT
06069803401050000,2019,313160,222640,535800,MKT
06069803401100000,2021,502916,379760,882676,COST
06069803401100000,2020,422366,371560,793926,COST
