id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079811301480000,RP,Commercial Property,2707 W MAIN ST,,10/21/2020 7:00:52 AM,206.101,"137,649",,1972,,,,,,
06079811301490000,RP,Commercial Property,W MAIN ST,,10/13/2020 11:30:16 AM,206.101,"1,630,015",,,,,,,,
06079811301500000,RP,Commercial Property,3100 W MAIN ST,,10/13/2020 11:31:35 AM,206.101,"43,952",,1958,,,,,,
06079811301540000,RP,Commercial Property,HIGHWAY 191,MINOR SUB 135,10/13/2020 11:34:01 AM,206.101,"114,171",,2007,,,,,,
06079811301560000,RP,Commercial Property,8645 HUFFINE LN,MINOR SUB 135,10/13/2020 11:31:26 AM,206.101,"89,864",,1996,,,,,,
06079811301666500,RP,Residential Property,,,10/13/2020 11:30:36 AM,206.010.B,"679,013",,,,,,,,
06079811330010000,RP,Government Property,FOWLER AVE,VAN HORN SUB,10/13/2020 11:35:36 AM,206.010.B,"223,463",,2016,,,,,,
06079811330030000,RP,Residential Property,3316 W BABCOCK ST,VAN HORN SUB,10/20/2021 12:00:25 PM,206.010.B,"20,473",,2004,01 - Bi-Level,5 - Forced Air,2021,4,3,0
06079811330040000,RP,Residential Property,3324 W BABCOCK ST,VAN HORN SUB,10/13/2020 11:39:51 AM,206.010.B,"8,059",,1945,08 - Conventional,5 - Forced Air,1424,3,1,0
06079811330307000,RP,Condo/Townhouse Master,W BABCOCK ST,FOWLER MEADOWS CONDO,10/13/2020 11:28:33 AM,206.700.K,"90,000",,,,,,,,
06079811334420000,RP,,3304 W BABCOCK ST,MINOR SUB 223,10/13/2020 11:33:44 AM,206.010.B,"43,560",,1960,SW,5 - Forced Air,896,2,1,0
06079811334460000,RP,Government Property,POND ROW,VAN HORN SUB,10/13/2020 11:30:56 AM,206.010.B,"149,411",,,,,,,,
06079811338340000,RP,Residential Property,POND ROW,VAN HORN SUB,10/13/2020 11:34:13 AM,206.010.B,"131,464",,,,,,,,
06079811338400000,RP,Commercial Property,W BABCOCK ST,MINOR SUB 223,10/20/2021 12:02:11 PM,206.010.B,"63,641",,1997,,,,,,
