id,year,land,building,total,method
06002201101010000,2021,55110,0,55110,COST
06002201101010000,2020,29670,0,29670,COST
06002201101010000,2019,29670,0,29670,COST
06002301101010000,2021,11823,0,11823,COST
06002301101010000,2020,10694,0,10694,COST
06002301101010000,2019,10694,0,10694,COST
06002302101010000,2021,11797,0,11797,COST
06002302101010000,2020,10997,0,10997,COST
06002302101010000,2019,10997,0,10997,COST
06002303101010000,2021,250751,0,250751,COST
06002303101010000,2020,134999,0,134999,COST
06002303101010000,2019,134999,0,134999,COST
06002303401010000,2021,2010,0,2010,COST
06002303401010000,2020,1874,0,1874,COST
06002303401010000,2019,1874,0,1874,COST
06002304101010000,2021,257478,0,257478,COST
06002304101010000,2020,138986,0,138986,COST
06002304101010000,2019,138986,0,138986,COST
06002305101010000,2021,293920,0,293920,COST
06002305101010000,2020,158240,0,158240,COST
06002305101010000,2019,158240,0,158240,COST
06002306101010000,2021,289328,0,289328,COST
06002306101010000,2020,155768,0,155768,COST
06002306101010000,2019,155768,0,155768,COST
06002307101010000,2021,43629,0,43629,COST
06002307101010000,2020,23489,0,23489,COST
06002307101010000,2019,23489,0,23489,COST
06002308101010000,2021,275550,0,275550,COST
06002308101010000,2020,148350,0,148350,COST
06002308101010000,2019,148350,0,148350,COST
06002309101010000,2021,293920,0,293920,COST
06002309101010000,2020,158240,0,158240,COST
06002309101010000,2019,158240,0,158240,COST
06002310101010000,2021,250751,0,250751,COST
06002310101010000,2020,134999,0,134999,COST
06002310101010000,2019,134999,0,134999,COST
06002310401010000,2021,1957,0,1957,COST
06002310401010000,2020,1824,0,1824,COST
06002310401010000,2019,1824,0,1824,COST
06002311101010000,2021,11800,0,11800,COST
06002311101010000,2020,11000,0,11000,COST
06002311101010000,2019,11000,0,11000,COST
06002312101010000,2021,11871,0,11871,COST
06002312101010000,2020,10769,0,10769,COST
06002312101010000,2019,10769,0,10769,COST
06002313101010000,2021,11915,0,11915,COST
06002313101010000,2020,10842,0,10842,COST
06002313101010000,2019,10842,0,10842,COST
06002314101010000,2021,11800,0,11800,COST
06002314101010000,2020,11000,0,11000,COST
06002314101010000,2019,11000,0,11000,COST
06002315101010000,2021,250751,0,250751,COST
06002315101010000,2020,134999,0,134999,COST
06002315101010000,2019,134999,0,134999,COST
06002315401010000,2021,1912,0,1912,COST
06002315401010000,2020,1782,0,1782,COST
06002315401010000,2019,1782,0,1782,COST
06002316101010000,2021,277846,0,277846,COST
06002316101010000,2020,149586,0,149586,COST
06002316101010000,2019,149586,0,149586,COST
06002317101010000,2021,2296,0,2296,COST
06002317101010000,2020,1236,0,1236,COST
06002317101010000,2019,1236,0,1236,COST
06002317401010000,2021,13778,0,13778,COST
06002317401010000,2020,7418,0,7418,COST
06002317401010000,2019,7418,0,7418,COST
06002320101010000,2021,34444,0,34444,COST
06002320101010000,2020,18544,0,18544,COST
06002320101010000,2019,18544,0,18544,COST
06002321101010000,2021,289328,0,289328,COST
06002321101010000,2020,155768,0,155768,COST
06002321101010000,2019,155768,0,155768,COST
06002322101010000,2021,250751,0,250751,COST
06002322101010000,2020,134999,0,134999,COST
06002322101010000,2019,134999,0,134999,COST
