id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079803405070000,RP,Residential Property,4063 RENOVA LN,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:25:31 AM,206.010.B,"7,999",,2011,08 - Conventional,5 - Forced Air,1592,4,2,0
06079803405090000,RP,Residential Property,4055 RENOVA LN,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:28:19 AM,206.010.B,"7,999",,2011,03 - Ranch,5 - Forced Air,1592,4,2,0
06079803405110000,RP,Residential Property,4041 RENOVA LN,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:32:07 AM,206.010.B,"7,999",,2011,03 - Ranch,5 - Forced Air,1531,3,2,0
06079803405130000,RP,Residential Property,4027 RENOVA LN,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:26:43 AM,206.010.B,"7,926",,2012,03 - Ranch,5 - Forced Air,1508,3,2,0
06079803405150000,RP,Residential Property,4013 RENOVA LN,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:32:22 AM,206.010.B,"8,073",,2012,03 - Ranch,5 - Forced Air,1551,3,2,0
06079803405170000,RP,Residential Property,4001 RENOVA LN,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:36:57 AM,206.010.B,"11,067",,2012,03 - Ranch,5 - Forced Air,1780,4,2,0
06079803405190000,RP,Residential Property,4002 TANZANITE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:26:16 AM,206.010.B,"10,940",,2013,03 - Ranch,2 - Hot Water/Water Radiant,1528,3,2,0
06079803405210000,RP,Residential Property,4016 TANZANITE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:30:43 AM,206.010.B,"8,409",,2012,03 - Ranch,5 - Forced Air,1480,3,2,0
06079803405230000,RP,Residential Property,4024 TANZANITE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:35:46 AM,206.010.B,"7,926",,2011,03 - Ranch,5 - Forced Air,1531,3,2,0
06079803405250000,RP,Residential Property,4038 TANZANITE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:25:54 AM,206.010.B,"7,999",,2011,08 - Conventional,5 - Forced Air,1877,3,2,0
06079803405270000,RP,Residential Property,4052 TANZANITE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:26:49 AM,206.010.B,"7,999",,2011,08 - Conventional,5 - Forced Air,1592,4,2,0
06079803405290000,RP,Residential Property,4070 TANZANITE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:26:21 AM,206.010.B,"7,999",,2011,08 - Conventional,5 - Forced Air,1592,4,2,0
06079803406057000,RP,Condo/Townhouse Master,,UNION PACIFIC CONDO,10/13/2020 11:24:10 AM,206.700.K,"114,737",,,,,,,,
06079803407010000,RP,Residential Property,894 FERGUSON AVE,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:27:33 AM,206.010.B,"9,720",,2013,08 - Conventional,5 - Forced Air,1822,3,2,1
06079803407030000,RP,Residential Property,888 FERGUSON AVE,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:24:25 AM,206.010.B,"9,728",,2013,03 - Ranch,5 - Forced Air,1588,3,2,0
06079803407050000,RP,Residential Property,884 FERGUSON AVE,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:38:08 AM,206.010.B,"9,728",,2013,08 - Conventional,5 - Forced Air,1824,3,2,1
06079803407070000,RP,Residential Property,4061 MOONSTONE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:36:35 AM,206.010.B,"8,981",,2009,03 - Ranch,5 - Forced Air,1416,3,2,0
06079803407090000,RP,Residential Property,4041 MOONSTONE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:30:01 AM,206.010.B,"9,007",,2009,03 - Ranch,5 - Forced Air,1499,3,2,0
06079803407110000,RP,Residential Property,4019 MOONSTONE DR,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:29:18 AM,206.010.B,"10,828",,2012,08 - Conventional,5 - Forced Air,2473,5,2,1
06079803407130000,RP,Residential Property,4020 ANNIE ST,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:33:54 AM,206.010.B,"10,999",,2012,08 - Conventional,2 - Hot Water/Water Radiant,1670,3,2,0
06079803407150000,RP,Residential Property,4040 ANNIE ST,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:27:28 AM,206.010.B,"10,226",,2012,03 - Ranch,5 - Forced Air,1910,3,2,0
06079803407170000,RP,Residential Property,4064 ANNIE ST,DIAMOND ESTATES SUB NO 2 PH 2,10/13/2020 11:30:58 AM,206.010.B,"8,946",,2011,03 - Ranch,5 - Forced Air,1491,3,2,0
