id,year,land,building,total,method
06033928406010000,2021,305317,203090,508407,COST
06033928406010000,2020,418456,211180,629636,COST
06033928406010000,2019,418456,211180,629636,COST
06033928406020000,2021,272370,0,272370,COST
06033928406020000,2020,367000,0,367000,COST
06033928406020000,2019,367000,0,367000,COST
06033928406030000,2021,271109,175720,446829,COST
06033928406030000,2020,365049,184300,549349,OVR
06033928406030000,2019,365049,184300,549349,COST
06033928406040000,2021,283173,330140,613313,COST
06033928406040000,2020,383775,227300,611075,COST
06033928406040000,2019,383775,227300,611075,COST
06033928406050000,2021,229443,0,229443,COST
06033928406050000,2020,188388,0,188388,COST
06033928406050000,2019,188388,0,188388,COST
06033928406060000,2021,236292,753430,989722,COST
06033928406060000,2020,194864,472120,666984,COST
06033928406060000,2019,194864,472120,666984,COST
06033928406070000,2021,245800,1308960,1554760,COST
06033928406070000,2020,203900,714530,918430,OVR
06033928406070000,2019,203900,714530,918430,COST
06033928406080000,2021,262015,0,262015,COST
06033928406080000,2020,219431,0,219431,COST
06033928406080000,2019,219431,0,219431,COST
06033928406110000,2021,393385,623830,1017215,COST
06033928406110000,2020,350023,381120,731143,COST
06033928406110000,2019,350023,381120,731143,COST
06033928421010000,2021,330171,2549070,2879241,COST
06033928421010000,2020,457830,1505470,1963300,COST
06033928421010000,2019,457830,1505470,1963300,COST
06033928421020000,2021,315607,0,315607,COST
06033928421020000,2020,434703,0,434703,COST
06033928421020000,2019,434703,0,434703,COST
06033928421030000,2021,319169,507490,826659,COST
06033928421030000,2020,440345,527870,968215,COST
06033928421030000,2019,440345,527870,968215,COST
06033928421040000,2021,330171,579629,909800,MKT
06033928421040000,2020,457830,414840,872670,COST
06033928421040000,2019,457830,414840,872670,COST
06033928421050000,2021,323500,659700,983200,MKT
06033928421050000,2020,447218,479200,926418,COST
06033928421050000,2019,447218,479200,926418,COST
06033928421060000,2021,309148,645150,954298,COST
06033928421060000,2020,424495,669350,1093845,COST
06033928421060000,2019,424495,669350,1093845,COST
06033928421070000,2021,296278,1180,297458,COST
06033928421070000,2020,404254,940,405194,COST
06033928421070000,2019,404254,940,405194,COST
06033928421080000,2021,284318,691500,975818,COST
