id,year,land,building,total,method
06079818106110000,2021,236160,0,236160,COST
06079818106110000,2020,179700,0,179700,COST
06079818106110000,2019,179700,0,179700,COST
06079818106136500,2021,274533,0,274533,COST
06079818106136500,2020,84520,0,84520,COST
06079818106136500,2019,84520,0,84520,COST
06079818106150000,2021,236160,0,236160,COST
06079818106150000,2020,179700,0,179700,COST
06079818106150000,2019,179700,0,179700,COST
06079818107010000,2021,244047,1021853,1265900,INCOME
06079818107010000,2020,183638,873462,1057100,INCOME
06079818107010000,2019,183638,873462,1057100,INCOME
06079818107030000,2021,213408,266592,480000,INCOME
06079818107030000,2020,168080,256820,424900,INCOME
06079818107030000,2019,168080,256820,424900,INCOME
06079818107050000,2021,213408,266592,480000,INCOME
06079818107050000,2020,168080,310020,478100,INCOME
06079818107050000,2019,168080,310020,478100,INCOME
06079818107070000,2021,213408,266592,480000,INCOME
06079818107070000,2020,168080,256820,424900,INCOME
06079818107070000,2019,168080,256820,424900,INCOME
06079818107090000,2021,219873,851427,1071300,INCOME
06079818107090000,2020,171423,756977,928400,INCOME
06079818107090000,2019,171423,756977,928400,INCOME
06079818201010000,2021,315303,851160,1166463,COST
06079818201010000,2020,358881,811950,1170831,COST
06079818201010000,2019,358881,811950,1170831,COST
06079818201020000,2021,391979,2553821,2945800,INCOME
06079818201020000,2020,414315,2266785,2681100,INCOME
06079818201020000,2019,414315,2266785,2681100,INCOME
06079818201030000,2021,256465,900635,1157100,INCOME
06079818201030000,2020,189752,852948,1042700,INCOME
06079818201030000,2019,189752,852948,1042700,INCOME
06079818201040000,2021,260176,696224,956400,INCOME
06079818201040000,2020,191559,609741,801300,INCOME
06079818201040000,2019,191559,609741,801300,INCOME
06079818201050000,2021,252367,556933,809300,INCOME
06079818201050000,2020,187746,534454,722200,INCOME
06079818201050000,2019,187746,534454,722200,INCOME
06079818201060000,2021,253660,609240,862900,INCOME
06079818201060000,2020,188380,526820,715200,INCOME
06079818201060000,2019,188380,526820,715200,INCOME
06079818201070000,2021,249297,547303,796600,INCOME
06079818201070000,2020,186236,492164,678400,INCOME
06079818201070000,2019,186236,492164,678400,INCOME
06079818201080000,2021,247396,1386804,1634200,INCOME
06079818201080000,2020,185297,1419903,1605200,INCOME
06079818201080000,2019,185297,1419903,1605200,INCOME
06079818202010900,2021,240063,738937,979000,INCOME
06079818202010900,2020,181654,660946,842600,INCOME
06079818202010900,2019,181654,660946,842600,INCOME
06079818202017000,2021,240184,33400,273584,COST
06079818202017000,2020,181715,32420,214135,COST
06079818202017000,2019,181715,32420,214135,COST
06079818202027000,2021,340889,25580,366469,COST
06079818202027000,2020,377841,25730,403571,COST
06079818202027000,2019,377841,25730,403571,COST
06079818202030000,2021,240063,630537,870600,INCOME
06079818202030000,2020,181654,592246,773900,INCOME
06079818202030000,2019,181654,592246,773900,INCOME
06079818202050000,2021,240063,1002337,1242400,INCOME
06079818202050000,2020,181654,934446,1116100,INCOME
06079818202050000,2019,181654,934446,1116100,INCOME
06079818202060000,2021,240063,136837,376900,INCOME
06079818202060000,2020,181654,151546,333200,INCOME
06079818202060000,2019,181654,151546,333200,INCOME
06079818202070000,2021,380889,0,380889,COST
06079818202070000,2020,246338,0,246338,COST
06079818202070000,2019,246338,0,246338,COST
06079818202090000,2021,419213,412620,831833,COST
06079818202090000,2020,383137,367170,750307,COST
06079818202090000,2019,383137,367170,750307,COST
06079818202100000,2021,434435,117060,551495,COST
06079818202100000,2020,398789,106890,505679,COST
06079818202100000,2019,398789,106890,505679,COST
06079818202130000,2021,625270,1114410,1739680,COST
06079818202130000,2020,341649,1079720,1421369,COST
06079818202130000,2019,341649,1079720,1421369,COST
06079818202150000,2021,430871,1158050,1588921,COST
06079818202150000,2020,267219,1090860,1358079,COST
06079818202150000,2019,267219,1090860,1358079,COST
