id,year,land,building,total,method
06079907158150100,2021,51201,0,51201,COST
06079907158150100,2020,52415,0,52415,COST
06079907158150100,2019,52415,0,52415,COST
06079907201010000,2021,3913756,2315040,6228796,COST
06079907201010000,2020,2472263,2126930,4599193,COST
06079907201010000,2019,2472263,2126930,4599193,COST
06079907201160000,2021,2493457,3922343,6415800,INCOME
06079907201160000,2020,2038080,3790740,5828820,COST
06079907201160000,2019,2038080,3790740,5828820,COST
06079907202010000,2021,183568,298932,482500,INCOME
06079907202010000,2020,339478,137922,477400,INCOME
06079907202010000,2019,339478,137922,477400,INCOME
06079907202030000,2021,140931,565269,706200,INCOME
06079907202030000,2020,932725,246410,1179135,COST
06079907202030000,2019,932725,246410,1179135,COST
06079907202050000,2021,154240,666160,820400,INCOME
06079907202050000,2020,315083,503717,818800,INCOME
06079907202050000,2019,315083,503717,818800,INCOME
06079907202097000,2021,5461391,100880,5562271,COST
06079907202097000,2020,2294134,97260,2391394,COST
06079907202097000,2019,2294134,97260,2391394,COST
06079907202200000,2021,3313108,1370292,4683400,INCOME
06079907202200000,2020,1851959,2761841,4613800,INCOME
06079907202200000,2019,1851959,2761841,4613800,INCOME
06079907202240000,2021,2828606,622294,3450900,INCOME
06079907202240000,2020,1730682,1668918,3399600,INCOME
06079907202240000,2019,1730682,1668918,3399600,INCOME
06079907203050000,2021,342751,8390,351141,COST
06079907203050000,2020,1196674,8120,1204794,COST
06079907203050000,2019,1196674,8120,1204794,COST
06079907203100000,2021,870378,203222,1073600,INCOME
06079907203100000,2020,918000,357000,1275000,OVR
06079907203100000,2019,918000,357000,1275000,COST
06079907203157000,2021,2226340,0,2226340,COST
06079907203157000,2020,1592549,0,1592549,COST
06079907203157000,2019,1592549,0,1592549,COST
06079907203170000,2021,872138,267662,1139800,INCOME
06079907203170000,2020,1045492,4908,1050400,OVR
06079907203170000,2019,1045492,4908,1050400,INCOME
06079907203190000,2021,1701962,1903338,3605300,INCOME
06079907203190000,2020,1392217,1389383,2781600,INCOME
06079907203190000,2019,1392217,1389383,2781600,INCOME
06079907203210000,2021,1474671,1568829,3043500,INCOME
06079907203210000,2020,1309297,1225403,2534700,INCOME
06079907203210000,2019,1309297,1225403,2534700,INCOME
06079907203240000,2021,2210741,1383670,3594411,COST
06079907203240000,2020,1557277,1779430,3336707,COST
06079907203240000,2019,1557277,1779430,3336707,COST
06079907203277000,2021,2210741,0,2210741,COST
06079907203277000,2020,1557277,0,1557277,COST
06079907203277000,2019,1557277,0,1557277,COST
06079907203290000,2021,1271686,346714,1618400,INCOME
