id,year,land,building,total,method
06033802163150000,2021,192674,221226,413900,MKT
06033802163150000,2020,118514,230186,348700,MKT
06033802163150000,2019,118514,230186,348700,MKT
06033802164026500,2021,234556,0,234556,COST
06033802164026500,2020,66319,0,66319,COST
06033802164026500,2019,66319,0,66319,COST
06033802164037000,2021,435892,0,435892,COST
06033802164037000,2020,409518,0,409518,COST
06033802164037000,2019,409518,0,409518,COST
06033802164057000,2021,584088,0,584088,COST
06033802164057000,2020,504354,0,504354,COST
06033802164057000,2019,504354,0,504354,COST
06033802164127000,2021,556732,0,556732,COST
06033802164127000,2020,487425,0,487425,COST
06033802164127000,2019,487425,0,487425,COST
06033802165017000,2021,571544,0,571544,COST
06033802165017000,2020,496621,0,496621,COST
06033802165017000,2019,496621,0,496621,COST
06033802165027000,2021,322783,6950,329733,COST
06033802165027000,2020,322629,7470,330099,COST
06033802165027000,2019,322629,7470,330099,COST
06033802165037000,2021,322783,11220,334003,COST
06033802165037000,2020,413627,10860,424487,COST
06033802165037000,2019,413627,10860,424487,COST
06033802165057000,2021,368250,21820,390070,COST
06033802165057000,2020,519026,21150,540176,COST
06033802165057000,2019,519026,21150,540176,COST
06033802166010000,2021,305160,1930910,2236070,COST
06033802166010000,2020,369111,2053089,2422200,INCOME
06033802166010000,2019,369111,2053089,2422200,INCOME
06033802166020000,2021,344559,3995741,4340300,INCOME
06033802166020000,2020,462856,3698444,4161300,INCOME
06033802166020000,2019,462856,1660244,2123100,INCOME
06033802166030000,2021,412617,0,412617,COST
06033802166030000,2020,393832,0,393832,COST
06033802166030000,2019,393832,0,393832,COST
06033802201010000,2021,1157,0,1157,COST
06033802201010000,2020,1077,0,1077,COST
06033802201010000,2019,1077,0,1077,COST
06033802201120000,2021,1300,18860,20160,COST
06033802201120000,2020,1210,18830,20040,COST
06033802201120000,2019,1210,18830,20040,COST
06033802201230000,2021,1116,0,1116,COST
06033802201230000,2020,1038,0,1038,COST
06033802201230000,2019,1038,0,1038,COST
