id,year,land,building,total,method
06042822402030000,2021,565136,2160,567296,COST
06042822402030000,2020,709526,2090,711616,COST
06042822402030000,2019,709526,2090,711616,COST
06042822402040000,2021,513385,942799,1456184,OVR
06042822402040000,2020,635391,454270,1089661,COST
06042822402040000,2019,635391,454270,1089661,COST
06042823101010000,2021,238079,0,238079,COST
06042823101010000,2020,128638,0,128638,COST
06042823101010000,2019,128638,0,128638,COST
06042823201020000,2021,206745,484580,691325,COST
06042823201020000,2020,174342,228910,403252,COST
06042823201020000,2019,174342,228910,403252,COST
06042823201150000,2021,18958,0,18958,COST
06042823201150000,2020,10913,0,10913,COST
06042823201150000,2019,10913,0,10913,COST
06042824101010000,2021,260000,0,260000,COST
06042824101010000,2020,139680,0,139680,COST
06042824101010000,2019,139680,0,139680,COST
06042825101010000,2021,257968,0,257968,COST
06042825101010000,2020,138611,0,138611,COST
06042825101010000,2019,138611,0,138611,COST
06042826101010000,2021,256610,0,256610,COST
06042826101010000,2020,138092,0,138092,COST
06042826101010000,2019,138092,0,138092,COST
06042827101020000,2021,318707,1436240,1754947,COST
06042827101020000,2020,286666,960420,1247086,COST
06042827101020000,2019,286666,960420,1247086,COST
06042827101040000,2021,176740,114140,290880,COST
06042827101040000,2020,145597,111436,257033,MRA
06042827101040000,2019,145597,111436,257033,MRA
06042827101120000,2021,33404,0,33404,COST
06042827101120000,2020,40528,0,40528,COST
06042827101120000,2019,40528,0,40528,COST
06042827101990000,2021,34158,0,34158,COST
06042827101990000,2020,41580,0,41580,COST
06042827101990000,2019,41580,0,41580,COST
06042827102010000,2021,193643,0,193643,COST
06042827102010000,2020,104902,0,104902,COST
06042827102010000,2019,104902,0,104902,COST
06042827201040000,2021,352524,543630,896154,COST
06042827201040000,2020,321885,277650,599535,COST
06042827201040000,2019,321885,277650,599535,COST
06042827201050000,2021,258281,562120,820401,COST
06042827201050000,2020,225148,365820,590968,COST
06042827201050000,2019,225148,365820,590968,COST
06042827201060000,2021,222037,556110,778147,COST
06042827201060000,2020,189240,380310,569550,COST
06042827201060000,2019,189240,380310,569550,COST
06042827201070000,2021,257332,0,257332,COST
06042827201070000,2020,224198,0,224198,COST
06042827201070000,2019,224198,0,224198,COST
06042827201100000,2021,223355,434620,657975,COST
06042827201100000,2020,190531,294180,484711,COST
06042827201100000,2019,190531,294180,484711,COST
06042827201120000,2021,113854,0,113854,COST
06042827201120000,2020,134692,0,134692,COST
06042827201120000,2019,134692,0,134692,COST
06042827201140000,2021,373535,1201746,1575281,OVR
06042827201140000,2020,440902,585620,1026522,COST
06042827201140000,2019,440902,585620,1026522,COST
06042827201160000,2021,537809,327890,865699,COST
06042827201160000,2020,670247,269970,940217,COST
06042827201160000,2019,670247,269970,940217,COST
06042827201180000,2021,370839,871460,1242299,COST
06042827201180000,2020,341175,585390,926565,COST
06042827201180000,2019,341175,585390,926565,COST
06042827201200000,2021,193410,392340,585750,COST
06042827201200000,2020,161484,276088,437572,MRA
06042827201200000,2019,161484,276088,437572,MRA
06042827201210000,2021,304780,802440,1107220,COST
06042827201210000,2020,272319,525090,797409,COST
06042827201210000,2019,272319,525090,797409,COST
06042827201220000,2021,312020,0,312020,COST
06042827201220000,2020,441180,0,441180,COST
06042827201220000,2019,441180,0,441180,COST
06042827201300000,2021,291344,524770,816114,COST
06042827201300000,2020,258571,349130,607701,COST
06042827201300000,2019,258571,349130,607701,COST
06042827201400000,2021,211374,0,211374,COST
06042827201400000,2020,178835,0,178835,COST
06042827201400000,2019,178835,0,178835,COST
06042827202020000,2021,421200,46800,468000,OVR
06042827202020000,2020,624493,48580,673073,COST
06042827202020000,2019,624493,48580,673073,COST
06042827301020000,2021,213642,447950,661592,COST
06042827301020000,2020,181041,295210,476251,COST
06042827301020000,2019,181041,295210,476251,COST
06042827301030000,2021,605597,1468630,2074227,COST
06042827301030000,2020,768203,1097480,1865683,COST
06042827301030000,2019,768203,1097480,1865683,COST
06042827301060000,2021,360861,622440,983301,COST
06042827301060000,2020,423522,505180,928702,COST
06042827301060000,2019,423522,505180,928702,COST
06042827301200000,2021,605,0,605,COST
06042827301200000,2020,563,0,563,COST
06042827301200000,2019,563,0,563,COST
06042828101010000,2021,166996,0,166996,COST
06042828101010000,2020,91805,0,91805,COST
06042828101010000,2019,91805,0,91805,COST
06042828401200000,2021,568559,1017170,1585729,COST
06042828401200000,2020,854919,1083190,1938109,COST
06042828401200000,2019,854919,1083190,1938109,COST
06042828403010000,2021,413931,0,413931,COST
06042828403010000,2020,377017,0,377017,COST
06042828403010000,2019,377017,0,377017,COST
06042828403020000,2021,370000,0,370000,COST
06042828403020000,2020,387442,0,387442,COST
06042828403020000,2019,387442,0,387442,COST
06042828403030000,2021,345398,1067390,1412788,COST
06042828403030000,2020,306221,896460,1202681,COST
06042828403030000,2019,306221,896460,1202681,COST
06042829101010000,2021,160930,0,160930,COST
06042829101010000,2020,87410,0,87410,COST
06042829101010000,2019,87410,0,87410,COST
06042829301010000,2021,7689,0,7689,COST
06042829301010000,2020,4126,0,4126,COST
06042829301010000,2019,4126,0,4126,COST
06042829303010000,2021,7661,0,7661,COST
06042829303010000,2020,4110,0,4110,COST
06042829303010000,2019,4110,0,4110,COST
06042829306010000,2021,188838,1087190,1276028,COST
06042829306010000,2020,276953,921010,1197963,COST
06042829306010000,2019,276953,921010,1197963,COST
06042829309010000,2021,98225,467470,565695,COST
06042829309010000,2020,140519,396850,537369,COST
06042829309010000,2019,140519,396850,537369,COST
06042829311010000,2021,7661,0,7661,COST
06042829311010000,2020,4110,0,4110,COST
06042829311010000,2019,4110,0,4110,COST
06042829313010000,2021,98197,264950,363147,COST
06042829313010000,2020,140504,225990,366494,COST
06042829313010000,2019,140504,225990,366494,COST
06042829315010000,2021,98225,241160,339385,COST
06042829315010000,2020,140519,206690,347209,COST
06042829315010000,2019,140519,206690,347209,COST
06042829317010000,2021,98225,505660,603885,COST
06042829317010000,2020,140519,428590,569109,COST
06042829317010000,2019,140519,428590,569109,COST
06042830101010000,2021,240878,0,240878,COST
06042830101010000,2020,129285,0,129285,COST
06042830101010000,2019,129285,0,129285,COST
06042831101010000,2021,47039,0,47039,COST
06042831101010000,2020,25600,0,25600,COST
06042831101010000,2019,25600,0,25600,COST
06042831101050000,2021,548736,0,548736,COST
06042831101050000,2020,513083,0,513083,COST
06042831101050000,2019,502141,0,502141,COST
06042831101120000,2021,478520,1055780,1534300,COST
06042831101120000,2020,438390,884320,1322710,COST
06042831101120000,2019,438390,645110,1083500,COST
06042831101140000,2021,474214,422730,896944,COST
06042831101140000,2020,433860,259790,693650,COST
06042831101140000,2019,433860,259790,693650,COST
06042831101180000,2021,283618,0,283618,COST
06042831101180000,2020,240344,0,240344,COST
06042831101180000,2019,240344,0,240344,COST
06042831101260000,2021,321463,529230,850693,COST
06042831101260000,2020,277549,375480,653029,COST
06042831101260000,2019,277549,328330,605879,COST
06042831101500000,2021,1628,0,1628,COST
06042831101500000,2020,1515,0,1515,COST
06042831101500000,2019,1515,0,1515,COST
06042831201017000,2021,494518,68810,563328,COST
06042831201017000,2020,862446,1748954,2611400,INCOME
06042831201017000,2019,2051819,559581,2611400,INCOME
06042831201100000,2021,510383,0,510383,COST
06042831201100000,2020,910654,0,910654,COST
06042831201200000,2021,482164,0,482164,COST
06042831201200000,2020,825671,0,825671,COST
06042831201300000,2021,642487,0,642487,COST
06042831201300000,2020,1353773,0,1353773,COST
06042831205160000,2021,340616,232780,573396,COST
06042831205160000,2020,1082926,238660,1321586,COST
