id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06042822402030000,RP,Residential Property,GALLATIN RD,,10/13/2020 11:33:52 AM,206.015.W1,00,4.3,2000,,,,,,
06042822402040000,RP,Residential Property,50365 GALLATIN RD,,10/13/2020 11:25:06 AM,206.015.W1,00,3.15,1982,11 - Log,7 - Electric Baseboard/Electric Radiant,2232,3,2,0
06042823101010000,RP,Government Property,,,10/13/2020 11:23:57 AM,206.015.W1,,6.314,,,,,,,
06042823201020000,RP,Residential Property,51525 GALLATIN RD,,10/13/2020 1:01:49 PM,206.015,00,2.46,1914,11 - Log,1 - Floor/Wall/Space,432,1,1,0
06042823201150000,RP,Government Property,,,10/13/2020 11:38:05 AM,206.015.W1,,26.984,,,,,,,
06042824101010000,RP,Government Property,,,10/13/2020 11:24:12 AM,206.015,,640,,,,,,,
06042825101010000,RP,Government Property,,,10/13/2020 11:29:46 AM,206.015,,5.148,,,,,,,
06042826101010000,RP,Government Property,,,10/13/2020 11:31:40 AM,206.015,,19.659,,,,,,,
06042827101020000,RP,Residential Property,250 PETES WAY,,10/13/2020 11:34:12 AM,206.015,00,10,2000,08 - Conventional,2 - Hot Water/Water Radiant,1974,3,2,1
06042827101040000,RP,Residential Property,196 PETES WAY,,10/13/2020 11:28:17 AM,206.015,00,1.48,1955,08 - Conventional,0,600,2,0,1
06042827101120000,RP,Government Property,,,10/13/2020 11:38:26 AM,206.015.W1,00,0.04,,,,,,,
06042827101990000,RP,Government Property,,,10/13/2020 11:31:49 AM,206.015.W1,00,0.043,,,,,,,
06042827102010000,RP,Government Property,,,10/13/2020 11:25:34 AM,206.015.W1,,207.067,,,,,,,
06042827201040000,RP,Residential Property,49828 GALLATIN RD,,10/13/2020 1:01:49 PM,206.015,00,13.865,1988,11 - Log,7 - Electric Baseboard/Electric Radiant,1254,4,2,0
06042827201050000,RP,Residential Property,49825 GALLATIN RD,,10/13/2020 11:23:56 AM,206.015,00,5.06,1997,01 - Bi-Level,5 - Forced Air,1284,4,3,0
06042827201060000,RP,Residential Property,316 PETES WAY,,10/13/2020 11:28:22 AM,206.015,00,3.1,1993,11 - Log,1 - Floor/Wall/Space,1915,3,2,0
06042827201070000,RP,Residential Property,,,10/13/2020 11:27:52 AM,206.015,00,5,,,,,,,
06042827201100000,RP,Residential Property,49823 GALLATIN RD,,10/13/2020 1:01:49 PM,206.015,00,3.16,1993,11 - Log,7 - Electric Baseboard/Electric Radiant,1254,3,2,0
06042827201120000,RP,Government Property,,,10/13/2020 11:28:09 AM,206.015.W1,00,1.183,,,,,,,
06042827201140000,RP,Residential Property,49935 GALLATIN RD,,10/13/2020 1:01:49 PM,206.015.W1,00,1.124,2006,08 - Conventional,2 - Hot Water/Water Radiant,1608,3,3,1
06042827201160000,RP,Residential Property,49830 GALLATIN RD,,10/13/2020 11:34:33 AM,206.015.W1,00,3.662,2003,11 - Log,7 - Electric Baseboard/Electric Radiant,1740,2,2,0
06042827201180000,RP,Residential Property,49820 GALLATIN RD,,10/13/2020 1:01:49 PM,206.015,00,16.338,2003,11 - Log,2 - Hot Water/Water Radiant,2459,3,2,1
06042827201200000,RP,Residential Property,50000 GALLATIN RD,MINOR SUB 077,10/13/2020 11:34:45 AM,206.015,00,1.982,2004,08 - Conventional,5 - Forced Air,2140,2,2,0
06042827201210000,RP,Residential Property,49824 GALLATIN RD,MINOR SUB 077B,10/13/2020 11:28:39 AM,206.015,00,8.652,1999,11 - Log,5 - Forced Air,702,1,1,0
06042827201220000,RP,Government Property,,,10/13/2020 11:32:32 AM,206.015.W1,00,1.126,,,,,,,
06042827201300000,RP,Residential Property,49822 GALLATIN RD,MINOR SUB 077A,10/13/2020 11:29:00 AM,206.015,00,7.476,2003,08 - Conventional,7 - Electric Baseboard/Electric Radiant,1651,3,2,0
06042827201400000,RP,Residential Property,,,10/13/2020 11:26:53 AM,206.015,00,2.643,,,,,,,
06042827202020000,RP,Residential Property,,,10/13/2020 11:33:13 AM,206.015.W1,00,3,1950,08 - Conventional,0,358,0,1,0
06042827301020000,RP,Residential Property,49850 GALLATIN RD,,10/13/2020 11:28:34 AM,206.015,00,2.736,1965,08 - Conventional,7 - Electric Baseboard/Electric Radiant,1712,3,3,1
06042827301030000,RP,Residential Property,49622 GALLATIN RD,,10/13/2020 1:01:49 PM,206.015.W1,00,5.38,2000,11 - Log,2 - Hot Water/Water Radiant,650,1,1,0
06042827301060000,RP,Non-Qualified Ag,49800 GALLATIN RD,,10/13/2020 11:28:35 AM,206.015.W1,00,10.14,1997,11 - Log,5 - Forced Air,2191,3,2,1
06042827301200000,RP,Non-Qualified Ag,49800 GALLATIN RD,,10/13/2020 11:32:46 AM,206.015.W1,,10.936,,,,,,,
06042828101010000,RP,Government Property,,,10/13/2020 11:38:07 AM,206.009,,414.549,,,,,,,
06042828401200000,RP,Residential Property,49120 GALLATIN RD,,10/13/2020 11:36:55 AM,206.009.W,00,7.274,2008,04 - Modern,2 - Hot Water/Water Radiant,3265,3,3,1
06042828403010000,RP,Residential Property,LAZY J TRL,DUDLEY CREEK SUB,10/13/2020 11:36:17 AM,206.009,00,17.51,,,,,,,
06042828403020000,RP,Residential Property,21 LAZY J TRL,DUDLEY CREEK SUB,10/13/2020 11:30:35 AM,206.009,00,18.91,,,,,,,
06042828403030000,RP,Residential Property,25 LOWER DUDLEY CREEK RD,DUDLEY CREEK SUB,10/13/2020 11:31:11 AM,206.009,00,9.74,2005,11 - Log,2 - Hot Water/Water Radiant,2638,5,3,0
06042829101010000,RP,Government Property,,,10/13/2020 11:37:46 AM,206.009,,62.51,,,,,,,
06042829301010000,RP,Agricultural and Timber Properties,DUDLEY CREEK RD,,10/13/2020 11:25:11 AM,206.009,,20.174,,,,,,,
06042829303010000,RP,Agricultural and Timber Properties,1155 DUDLEY CREEK RD,,10/13/2020 11:33:59 AM,206.009,,20.1,,,,,,,
06042829306010000,RP,Residential Property,DUDLEY CREEK RD,,10/13/2020 11:37:17 AM,206.009,00,18.226,2014,11 - Log,1 - Floor/Wall/Space,448,1,1,0
06042829309010000,RP,Residential Property,1071 DUDLEY CREEK RD,,10/13/2020 11:28:31 AM,206.009,00,19.1,1995,11 - Log,1 - Floor/Wall/Space,2319,3,3,0
06042829311010000,RP,Agricultural and Timber Properties,,,10/13/2020 11:27:22 AM,206.009,,20.1,,,,,,,
06042829313010000,RP,Residential Property,1240 DUDLEY CREEK RD,,10/13/2020 11:23:45 AM,206.009,00,19.026,2018,11 - Log,1 - Floor/Wall/Space,787,2,1,0
06042829315010000,RP,Residential Property,1269 DUDLEY CREEK RD,,10/13/2020 11:27:48 AM,206.009,00,19.1,1997,11 - Log,1 - Floor/Wall/Space,845,2,1,0
06042829317010000,RP,Residential Property,1299 DUDLEY CREEK RD,,10/13/2020 11:33:23 AM,206.009,00,19.1,2000,11 - Log,1 - Floor/Wall/Space,1728,2,3,0
06042830101010000,RP,Government Property,,,10/13/2020 11:27:03 AM,206.009,,631.774,,,,,,,
06042831101010000,RP,Government Property,,,10/13/2020 11:36:41 AM,206.009,,121.006,,,,,,,
06042831101050000,RP,Government Property,433 SEEWAY RD,,10/13/2020 11:26:32 AM,206.009,00,13.496,,,,,,,
06042831101120000,RP,Residential Property,1007 LONE MOUNTAIN TRL,,10/13/2020 11:32:19 AM,206.009,00,8.66,1994,08 - Conventional,2 - Hot Water/Water Radiant,3322,4,2,1
06042831101140000,RP,Residential Property,1005 LONE MOUNTAIN TRL,,10/13/2020 1:01:49 PM,206.009,00,8.41,1994,08 - Conventional,7 - Electric Baseboard/Electric Radiant,960,2,2,0
06042831101180000,RP,Residential Property,,,10/13/2020 11:35:23 AM,206.009,00,1.59,,,,,,,
06042831101260000,RP,Residential Property,1275 LONE MOUNTAIN TRL,,10/13/2020 11:24:47 AM,206.009,00,2.386,1992,11 - Log,2 - Hot Water/Water Radiant,1532,3,2,1
06042831101500000,RP,Government Property,437 SEEWAY RD,,10/13/2020 11:24:55 AM,206.109.M,,29.413,,,,,,,
06042831101550000,,,,,,,,,,,,,,,
06042831201017000,RP,Commercial Property,1565 LONE MOUNTAIN TRL,POWDER LIGHT SUB,10/13/2020 11:27:44 AM,206.109.M,"114,127",,2015,,,,,,
06042831201100000,RP,Commercial Property,POWDER LIGHT DR,POWDER LIGHT SUB,10/13/2020 11:28:25 AM,206.109.M,"126,934",,,,,,,,
06042831201200000,RP,Commercial Property,POWDER LIGHT DR,POWDER LIGHT SUB,10/13/2020 11:26:56 AM,206.109.M,"104,805",,,,,,,,
06042831201300000,RP,Commercial Property,POWDER LIGHT DR,POWDER LIGHT SUB,10/13/2020 11:27:13 AM,206.109.M,"275,604",,,,,,,,
06042831205160000,RP,Commercial Property,25 SEEWAY RD,SWEETGRASS HILLS SUB,10/19/2021 12:17:48 PM,206.109.M,"1,875,694",,2002,,,,,,
06042831301010000,RP,Residential Property,,,10/13/2020 11:37:36 AM,206.009,00,4.41,,,,,,,
06042831301150000,RP,Residential Property,LONE MOUNTAIN RANCH RD,,10/13/2020 11:24:05 AM,206.009,00,17.374,,,,,,,
06042831301160000,RP,Residential Property,1620 LONE MOUNTAIN TRL,,10/13/2020 11:24:12 AM,206.009,00,13.2,2008,11 - Log,5 - Forced Air,4041,4,4,1
06042831301200000,RP,Residential Property,1402 LONE MOUNTAIN TRL,,10/13/2020 11:27:37 AM,206.009,00,3.07,1980,11 - Log,7 - Electric Baseboard/Electric Radiant,2120,4,4,0
06042831301260000,RP,Residential Property,252 VOGEL RD,,10/13/2020 1:01:49 PM,206.009,00,10.36,1940,10 - Old Style,0,1088,1,1,0
06042831301280000,RP,Residential Property,1400 LONE MOUNTAIN TRL,,10/13/2020 11:30:17 AM,206.009,00,3.877,1971,03 - Ranch,7 - Electric Baseboard/Electric Radiant,756,1,1,0
06042831301320000,RP,Residential Property,230 VOGEL RD,,10/13/2020 1:01:49 PM,206.009,00,12.304,1985,11 - Log,1 - Floor/Wall/Space,1666,2,1,0
06042831301360000,RP,Commercial Property,1700 LONE MOUNTAIN TRL,,10/13/2020 1:01:49 PM,206.109.M,"50,878",,1994,,,,,,
06042831301380000,RP,Commercial Property,LONE MOUNTAIN RANCH RD,,10/13/2020 11:25:50 AM,206.109.M,"77,917",,,,,,,,
06042831301440000,RP,Government Property,561 LITTLE COYOTE RD,,10/13/2020 1:01:49 PM,206.109.M,,32.107,1999,,,,,,
