id,year,land,building,total,method
06080030101010000,2021,758346,0,758346,COST
06080030101010000,2020,409461,0,409461,COST
06080030101010000,2019,409461,0,409461,COST
06080031401010000,2021,79737,0,79737,COST
06080031401010000,2020,42974,0,42974,COST
06080031401010000,2019,42974,0,42974,COST
06080032301050000,2021,53972,0,53972,COST
06080032301050000,2020,29080,0,29080,COST
06080032301050000,2019,29080,0,29080,COST
06080032401150000,2021,17249,0,17249,COST
06080032401150000,2020,9294,0,9294,COST
06080032401150000,2019,9294,0,9294,COST
06080033101010000,2021,65048,436590,501638,COST
06080033101010000,2020,45937,401920,447857,COST
06080033101010000,2019,45937,401920,447857,COST
06080033101050000,2021,65048,503960,569008,COST
06080033101050000,2020,45937,428210,474147,COST
06080033101050000,2019,45937,428210,474147,COST
06080033101100000,2021,65048,524140,589188,COST
06080033101100000,2020,45937,449880,495817,COST
06080033101100000,2019,45937,449880,495817,COST
06080033101150000,2021,65048,874020,939068,COST
06080033101150000,2020,45937,754860,800797,COST
06080033101150000,2019,45937,754860,800797,COST
06080033101200000,2021,64571,703690,768261,COST
06080033101200000,2020,45677,615430,661107,COST
06080033101200000,2019,45677,615430,661107,COST
06080033101250000,2021,64872,215710,280582,COST
06080033101250000,2020,45841,189080,234921,COST
06080033101250000,2019,45841,189080,234921,COST
06080033101300000,2021,65054,572450,637504,COST
06080033101300000,2020,45940,491500,537440,COST
06080033101300000,2019,45940,491500,537440,COST
06080033101350000,2021,65048,564460,629508,COST
06080033101350000,2020,45937,488080,534017,COST
06080033101350000,2019,45937,488080,534017,COST
06080033201010000,2021,65417,573300,638717,COST
06080033201010000,2020,46135,477580,523715,COST
06080033201010000,2019,46135,391610,437745,COST
06080033201050000,2021,65054,650960,716014,COST
06080033201050000,2020,45940,479800,525740,COST
06080033201050000,2019,45940,479800,525740,COST
06080033201100000,2021,64947,277440,342387,COST
06080033201100000,2020,45882,239520,285402,COST
06080033201100000,2019,45882,239520,285402,COST
06080033201150000,2021,11114,0,11114,COST
06080033201150000,2020,5999,0,5999,COST
06080033201150000,2019,5999,0,5999,COST
06080033201200000,2021,11107,0,11107,COST
06080033201200000,2020,5995,0,5995,COST
06080033201200000,2019,5995,0,5995,COST
06080033201250000,2021,11099,0,11099,COST
06080033201250000,2020,5990,0,5990,COST
06080033201250000,2019,5990,0,5990,COST
06080033201300000,2021,10888,0,10888,COST
06080033201300000,2020,5873,0,5873,COST
06080033201300000,2019,5873,0,5873,COST
06080033201350000,2021,10628,0,10628,COST
06080033201350000,2020,5734,0,5734,COST
06080033201350000,2019,5734,0,5734,COST
06080033301010000,2021,60467,0,60467,COST
06080033301010000,2020,32601,0,32601,COST
06080033301010000,2019,32601,0,32601,COST
06080033401010000,2021,107180,0,107180,COST
06080033401010000,2020,57832,0,57832,COST
06080033401010000,2019,57832,0,57832,COST
06080034101010000,2021,218821,0,218821,COST
06080034101010000,2020,176269,0,176269,COST
06080034101010000,2019,176269,0,176269,COST
06080034102050000,2021,211298,335602,546900,MKT
06080034102050000,2020,169638,273462,443100,MKT
06080034102050000,2019,169638,273462,443100,MKT
06080034102100000,2021,211271,641410,852681,COST
06080034102100000,2020,169613,544930,714543,COST
06080034102100000,2019,169613,544930,714543,COST
06080034102150000,2021,210966,343534,554500,MKT
06080034102150000,2020,169345,308755,478100,MKT
06080034102150000,2019,169345,308755,478100,MKT
06080034102200000,2021,211123,511000,722123,COST
06080034102200000,2020,169483,347317,516800,MKT
06080034102200000,2019,169483,347317,516800,MKT
06080034102210000,2021,238944,311856,550800,MKT
06080034102210000,2020,194116,270984,465100,MKT
06080034102210000,2019,194116,270984,465100,MKT
06080034102230000,2021,608,0,608,COST
06080034102230000,2020,566,0,566,COST
06080034102230000,2019,566,0,566,COST
06080034102250000,2021,56036,189350,245386,COST
06080034102250000,2020,41673,166610,208283,COST
06080034102250000,2019,41673,166610,208283,COST
06080034102300000,2021,210531,345169,555700,MKT
06080034102300000,2020,168962,260538,429500,MKT
06080034102300000,2019,168962,260538,429500,MKT
06080034102350000,2021,210624,0,210624,COST
06080034102350000,2020,169044,0,169044,COST
06080034102350000,2019,169044,0,169044,COST
06080034102400000,2021,64257,436880,501137,COST
06080034102400000,2020,45518,373680,419198,COST
06080034102400000,2019,45518,373680,419198,COST
06080034260010000,2021,1116,0,1116,COST
06080034260010000,2020,1039,0,1039,COST
06080034260010000,2019,1039,0,1039,COST
06080034260130000,2021,55557,1170760,1226317,COST
06080034260130000,2020,41228,1002430,1043658,COST
06080034260130000,2019,41228,1002430,1043658,COST
06080034301160000,2021,110002,775960,885962,COST
06080034301160000,2020,81420,667480,748900,COST
06080034301160000,2019,81420,667480,748900,COST
06080034301200000,2021,66224,409510,475734,COST
06080034301200000,2020,46580,335900,382480,OVR
06080034301200000,2019,46580,335900,382480,COST
06080034301250000,2021,9447,0,9447,COST
06080034301250000,2020,5126,0,5126,COST
06080034301250000,2019,5126,0,5126,COST
06080034301300000,2021,55552,352660,408212,COST
06080034301300000,2020,41223,303790,345013,COST
06080034301300000,2019,41223,303790,345013,COST
06080034301350000,2021,55552,887370,942922,COST
06080034301350000,2020,41223,764620,805843,COST
