id,category,subcategory,address,subdivision,modified,neighborhood,lot_size,acres,year_built,style,heating,sqft,bedrooms,full_baths,half_baths
06079809427010000,,,,,,,,,,,,,,,
06079809428010000,,,,,,,,,,,,,,,
06079809428040000,,,,,,,,,,,,,,,
06079809428070000,,,,,,,,,,,,,,,
06079809428100000,,,,,,,,,,,,,,,
06079809429016500,,,,,,,,,,,,,,,
06079809430020000,RP,Commercial Property,AUTO PLAZA DR,J C BILLION AUTO PLAZA SUB,10/13/2020 11:23:35 AM,206.101.A,"111,122",,1995,,,,,,
06079809440020000,RP,Commercial Property,100 COMPETITION DR,J C BILLION AUTO PLAZA SUB,10/13/2020 11:27:25 AM,206.101.A,"58,719",,2011,,,,,,
06079809440040000,RP,Commercial Property,171 COMPETITION DR,J C BILLION AUTO PLAZA SUB,10/13/2020 11:26:27 AM,206.101.A,"61,882",,1994,,,,,,
06079809466010000,RP,Non-Qualified Ag,100 AUTOMOTIVE AVE,J & D FAMILY MAJOR SUB PH 2,10/13/2020 11:32:02 AM,206.010.B,,14.02,,,,,,,
06079809466050000,RP,Residential Property,HUFFINE LN,,10/13/2020 11:24:44 AM,206.010.B,"54,711",,,,,,,,
06079810109015001,RP,Residential Property,4052 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:32:06 AM,206.500.T,"4,879",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109035002,RP,Residential Property,4054 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:37:58 AM,206.500.T,"2,641",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109055003,RP,Residential Property,4056 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:32:41 AM,206.500.T,"2,636",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109075004,RP,Residential Property,4058 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:25:04 AM,206.500.T,"3,179",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109095001,RP,Residential Property,4072 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:32:56 AM,206.500.T,"4,161",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109115002,RP,Residential Property,4074 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:36:44 AM,206.500.T,"2,714",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109135003,RP,Residential Property,4076 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:32:47 AM,206.500.T,"3,274",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109155001,RP,Residential Property,4080 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:25:30 AM,206.500.T,"4,957",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109175002,RP,Residential Property,4084 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:32:49 AM,206.500.T,"2,599",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109195003,RP,Residential Property,4088 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 1:01:49 PM,206.500.T,"3,719",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109215001,RP,Residential Property,4096 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:37:38 AM,206.500.T,"4,814",,2004,26 - Townhome - Row,5 - Forced Air,1396,3,2,1
06079810109235002,RP,Residential Property,4094 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 1:01:49 PM,206.500.T,"2,220",,2004,26 - Townhome - Row,5 - Forced Air,1396,3,2,1
06079810109255003,RP,Residential Property,4092 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:37:03 AM,206.500.T,"4,070",,2004,26 - Townhome - Row,5 - Forced Air,1396,3,2,1
06079810109276500,RP,Residential Property,,BROADWATER CT SUB PUD PH 2,10/13/2020 11:30:45 AM,206.010.B,"4,890",,,,,,,,
06079810109295001,RP,Residential Property,4068 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:27:35 AM,206.500.T,"3,940",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109315002,RP,Residential Property,4066 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:37:33 AM,206.500.T,"2,364",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109335003,RP,Residential Property,4062 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:23:42 AM,206.500.T,"5,251",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109355001,RP,Residential Property,4048 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:34:37 AM,206.500.T,"6,820",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109375002,RP,Residential Property,4044 BROADWATER ST,BROADWATER CT SUB PUD PH 2,10/13/2020 11:28:37 AM,206.500.T,"4,486",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109395001,RP,Residential Property,4036 BROADWATER CT,BROADWATER CT SUB PUD,10/13/2020 11:27:30 AM,206.500.T,"4,491",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109415002,RP,Residential Property,4032 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:27:25 AM,206.500.T,"4,495",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109435001,RP,Residential Property,4030 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:32:33 AM,206.500.T,"4,354",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109455002,RP,Residential Property,4028 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:29:13 AM,206.500.T,"2,336",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109475003,RP,Residential Property,4026 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:30:08 AM,206.500.T,"3,317",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109495001,RP,Residential Property,4018 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:27:23 AM,206.500.T,"5,302",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109515002,RP,Residential Property,4016 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:31:46 AM,206.500.T,"2,525",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109535003,RP,Residential Property,4014 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:26:05 AM,206.500.T,"3,018",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109555001,RP,Residential Property,4012 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:29:45 AM,206.500.T,"5,867",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109575002,RP,Residential Property,4010 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:28:08 AM,206.500.T,"2,406",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109595003,RP,Residential Property,4008 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:24:49 AM,206.500.T,"2,338",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109615004,RP,Residential Property,4006 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:29:13 AM,206.500.T,"4,285",,2004,26 - Townhome - Row,5 - Forced Air,1434,3,2,1
06079810109635001,RP,Residential Property,4000 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:27:39 AM,206.500.T,"4,076",,2004,26 - Townhome - Row,5 - Forced Air,1372,3,2,1
06079810109655002,RP,Residential Property,4002 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:26:58 AM,206.500.T,"2,220",,2004,26 - Townhome - Row,5 - Forced Air,1372,3,2,1
06079810109675003,RP,Residential Property,4004 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:29:26 AM,206.500.T,"4,070",,2004,26 - Townhome - Row,5 - Forced Air,1372,3,2,1
06079810109696500,RP,Residential Property,,BROADWATER CT SUB PUD,10/13/2020 11:31:50 AM,206.010.B,"3,182",,,,,,,,
06079810109715001,RP,Residential Property,4020 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:25:11 AM,206.500.T,"3,940",,2004,26 - Townhome - Row,5 - Forced Air,1410,3,2,1
06079810109735002,RP,Residential Property,4022 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:29:52 AM,206.500.T,"2,364",,2004,26 - Townhome - Row,5 - Forced Air,1410,3,2,1
06079810109755003,RP,Residential Property,4024 BROADWATER ST,BROADWATER CT SUB PUD,10/13/2020 11:30:25 AM,206.500.T,"5,310",,2004,26 - Townhome - Row,5 - Forced Air,1410,3,2,1
06079810110107000,RP,Condo/Townhouse Master,YELLOWSTONE AVE,SPRUCE MEADOWS CONDO,10/13/2020 11:37:40 AM,206.700.K,"266,000",,,,,,,,
06079810111017000,RP,Condo/Townhouse Master,S YELLOWSTONE AVE,LINDEN COURT CONDO,10/13/2020 11:32:09 AM,206.700.K,"89,785",,,,,,,,
06079810111035013,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:27:03 AM,206.500.T,"3,287",,1994,26 - Townhome - Row,5 - Forced Air,1332,2,2,0
06079810111055014,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:25:31 AM,206.500.T,"2,187",,1994,26 - Townhome - Row,5 - Forced Air,1526,2,1,1
06079810111075015,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:32:51 AM,206.500.T,"2,187",,1994,26 - Townhome - Row,5 - Forced Air,1526,2,1,1
06079810111095016,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:26:04 AM,206.500.T,"3,423",,1994,26 - Townhome - Row,5 - Forced Air,1332,2,2,0
06079810111115012,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:32:51 AM,206.500.T,"2,924",,1994,26 - Townhome - Row,5 - Forced Air,1332,2,2,0
06079810111135011,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:30:09 AM,206.500.T,"1,955",,1994,26 - Townhome - Row,5 - Forced Air,1526,2,1,1
06079810111155010,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:27:18 AM,206.500.T,"1,955",,1994,26 - Townhome - Row,5 - Forced Air,1526,2,1,1
06079810111175008,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:28:22 AM,206.500.T,"3,564",,1993,25 - Townhome - Duplex,5 - Forced Air,1332,2,2,0
06079810111195009,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:32:41 AM,206.500.T,"3,060",,1994,26 - Townhome - Row,5 - Forced Air,1332,2,2,0
06079810111215007,RP,Residential Property,3610 BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:24:48 AM,206.500.T,"3,564",,1993,25 - Townhome - Duplex,5 - Forced Air,1332,2,2,0
06079810111235004,RP,Residential Property,BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:25:47 AM,206.500.T,"2,929",,1993,26 - Townhome - Row,5 - Forced Air,1332,2,2,0
06079810111255003,RP,Residential Property,3610 W BROADWATER CT,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:31:28 AM,206.500.T,"1,948",,1994,26 - Townhome - Row,5 - Forced Air,1526,2,1,1
06079810111275006,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:26:10 AM,206.500.T,"3,564",,1993,25 - Townhome - Duplex,5 - Forced Air,1332,2,2,0
06079810111295002,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:26:30 AM,206.500.T,"1,937",,1994,26 - Townhome - Row,5 - Forced Air,1527,2,1,1
06079810111315005,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:40:04 AM,206.500.T,"3,564",,1994,25 - Townhome - Duplex,5 - Forced Air,1332,2,2,0
06079810111335001,RP,Residential Property,3610 W BROADWATER ST,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:33:52 AM,206.500.T,"2,932",,1993,26 - Townhome - Row,5 - Forced Air,1332,2,2,0
06079810111416500,RP,Residential Property,,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:28:17 AM,206.500.T,"5,806",,,,,,,,
06079810111436500,RP,Residential Property,,BRIDGER PEAKS TOWNHOUSES SUB PH 1,10/13/2020 11:34:27 AM,206.010.B,"24,733",,,,,,,,
06079810112010000,RP,Residential Property,3575 W BABCOCK ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:29:58 AM,206.010.B,"7,081",,2016,08 - Conventional,5 - Forced Air,2258,3,2,1
06079810112030000,RP,Residential Property,3555 W BABCOCK ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:30:11 AM,206.010.B,"5,306",,2016,08 - Conventional,5 - Forced Air,2165,3,2,1
06079810112050000,RP,Residential Property,3527 W BABCOCK ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:24:38 AM,206.010.B,"5,313",,2017,08 - Conventional,5 - Forced Air,2357,3,2,1
06079810112080000,RP,Residential Property,3505 W BABCOCK ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:24:19 AM,206.010.B,"6,941",,2018,08 - Conventional,5 - Forced Air,2357,4,3,0
06079810112106500,RP,Residential Property,,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:34:55 AM,206.010.B,"5,434",,,,,,,,
06079810112120000,RP,Residential Property,3502 W BROADWATER ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:24:56 AM,206.010.B,"7,207",,2016,08 - Conventional,5 - Forced Air,2314,4,2,1
06079810112140000,RP,Residential Property,3528 W BROADWATER ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:38:51 AM,206.010.B,"5,600",,2016,08 - Conventional,2 - Hot Water/Water Radiant,2229,3,2,1
06079810112160000,RP,Residential Property,3552 W BROADWATER ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:24:56 AM,206.010.B,"5,600",,2015,08 - Conventional,5 - Forced Air,2229,3,2,1
06079810112180000,RP,Residential Property,3570 W BROADWATER ST,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:26:37 AM,206.010.B,"6,245",,2015,08 - Conventional,5 - Forced Air,2406,3,2,1
06079810112200000,RP,Residential Property,8 MEAGHER AVE,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:33:35 AM,206.010.B,"7,185",,2016,08 - Conventional,5 - Forced Air,2314,4,2,1
06079810112220000,RP,Residential Property,4 MEAGHER AVE,HOMES AT BRIDGER PEAKS EST SUB,10/13/2020 11:31:14 AM,206.010.B,"7,208",,2016,08 - Conventional,5 - Forced Air,2314,4,3,0
06079810113010000,RP,Residential Property,77 SHERIDAN PL,CASCADE SUB PH 1,10/13/2020 11:31:08 AM,206.010.B,"9,000",,1995,08 - Conventional,5 - Forced Air,2384,3,2,1
06079810113030000,RP,Residential Property,53 SHERIDAN AVE,CASCADE SUB PH 1,10/13/2020 11:25:26 AM,206.010.B,"9,000",,1994,02 - Split Level,5 - Forced Air,1542,4,3,0
06079810113050000,RP,Residential Property,29 SHERIDAN PL,CASCADE SUB PH 1,10/13/2020 11:30:40 AM,206.010.B,"9,000",,1993,01 - Bi-Level,5 - Forced Air,1244,4,3,0
06079810113070000,RP,Residential Property,3464 BROADWATER CT,CASCADE SUB PH 1,10/13/2020 1:01:49 PM,206.010.B,"9,000",,1994,03 - Ranch,5 - Forced Air,1640,3,2,0
06079810114010000,RP,Residential Property,76 SHERIDAN PL,CASCADE SUB PH 1,10/13/2020 11:23:13 AM,206.010.B,"9,100",,1993,03 - Ranch,5 - Forced Air,1536,3,2,0
06079810114030000,RP,Residential Property,52 SHERIDAN PL,CASCADE SUB PH 1,10/13/2020 11:35:54 AM,206.010.B,"9,000",,1993,03 - Ranch,5 - Forced Air,1300,3,2,0
06079810114050000,RP,Residential Property,28 SHERIDAN PL,CASCADE SUB PH 1,10/13/2020 11:23:11 AM,206.010.B,"9,000",,1996,08 - Conventional,2 - Hot Water/Water Radiant,2012,4,3,0
06079810114070000,RP,Residential Property,4 SHERIDAN PL,CASCADE SUB PH 1,10/13/2020 11:22:44 AM,206.010.B,"9,000",,1993,03 - Ranch,5 - Forced Air,1512,3,2,0
06079810115010000,RP,Residential Property,11 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:36:08 AM,206.010.B,"12,734",,1994,08 - Conventional,2 - Hot Water/Water Radiant,1816,3,2,0
06079810115030000,RP,Residential Property,9 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:36:46 AM,206.010.B,"9,240",,1994,02 - Split Level,5 - Forced Air,1340,4,2,0
06079810115050000,RP,Residential Property,7 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:36:58 AM,206.010.B,"10,080",,1993,01 - Bi-Level,2 - Hot Water/Water Radiant,1303,4,3,0
06079810115070000,RP,Residential Property,3424 W BROADWATER ST,CASCADE SUB PH 2 & 3,10/13/2020 11:27:54 AM,206.010.B,"9,900",,2006,02 - Split Level,2 - Hot Water/Water Radiant,1162,3,3,0
06079810115090000,RP,Residential Property,10 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:24:10 AM,206.010.B,"12,634",,1993,08 - Conventional,5 - Forced Air,1940,3,2,1
06079810115110000,RP,Residential Property,8 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:26:32 AM,206.010.B,"8,863",,1994,02 - Split Level,2 - Hot Water/Water Radiant,1414,4,2,0
06079810115130000,RP,Residential Property,6 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:27:35 AM,206.010.B,"11,000",,1993,08 - Conventional,5 - Forced Air,1828,3,2,0
06079810115150000,RP,Residential Property,4 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:26:13 AM,206.010.B,"10,900",,1993,08 - Conventional,5 - Forced Air,1464,3,2,0
06079810115170000,RP,Residential Property,12 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:28:54 AM,206.010.B,"10,900",,1995,01 - Bi-Level,5 - Forced Air,1218,4,2,0
06079810115190000,RP,Residential Property,26 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:24:56 AM,206.010.B,"10,800",,2010,03 - Ranch,2 - Hot Water/Water Radiant,1536,3,2,0
06079810115210000,RP,Residential Property,50 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:33:17 AM,206.010.B,"10,800",,1994,02 - Split Level,2 - Hot Water/Water Radiant,1355,3,2,1
06079810115230000,RP,Residential Property,102 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:27:47 AM,206.010.B,"10,700",,2005,02 - Split Level,2 - Hot Water/Water Radiant,1208,3,3,1
06079810115250000,RP,Residential Property,126 SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:33:48 AM,206.010.B,"10,700",,1994,02 - Split Level,2 - Hot Water/Water Radiant,1335,3,2,1
06079810115270000,RP,Residential Property,150 N SWEETGRASS AVE,CASCADE SUB PH 2 & 3,10/13/2020 11:29:49 AM,206.010.B,"10,700",,1993,02 - Split Level,5 - Forced Air,1290,4,3,0
